label,index,precision,recall,f1-score,support
Atlantic Spotted,0,0.0,0.0,0.0,37.0
Bearded Seal,1,0.0189098998887652,0.0356394129979035,0.0247093023255813,477.0
"Beluga, White Whale",2,0.0,0.0,0.0,23.0
Bottlenose Dolphin,3,0.0,0.0,0.0,304.0
Bowhead Whale,4,0.0186567164179104,0.0099800399201596,0.0130039011703511,501.0
Clymene Dolphin,5,0.0266666666666666,0.015625,0.0197044334975369,128.0
Common Dolphin,6,0.0042016806722689,0.0084033613445378,0.0056022408963585,238.0
Dusky Dolphin,7,0.0,0.0,0.0,35.0
False Killer Whale,8,0.0,0.0,0.0,78.0
"Fin, Finback Whale",9,0.1586882774217866,0.1592284417549168,0.1589579006985086,2644.0
Fraser's Dolphin,10,0.0038071065989847,0.032258064516129,0.0068104426787741,93.0
"Grampus, Risso's",11,0.0,0.0,0.0,32.0
Gray Whale,12,0.0,0.0,0.0,18.0
Harbor Porpoise,13,0.0277777777777777,0.027027027027027,0.0273972602739726,37.0
Humpback Whale,14,0.070555032925682,0.0610252237591537,0.0654450261780104,1229.0
Killer Whale,15,0.0204545454545454,0.055441478439425,0.0298837852794687,487.0
Leopard Seal,16,0.0,0.0,0.0,29.0
Long Beaked,17,0.0,0.0,0.0,27.0
Long-Finned Pilot,18,0.0144927536231884,0.0056980056980056,0.0081799591002045,351.0
Melon Headed Whale,19,0.0,0.0,0.0,18.0
Minke Whale,20,0.0,0.0,0.0,35.0
Northern Right Whale,21,0.0,0.0,0.0,75.0
Pantropical Spotted,22,0.0235849056603773,0.0147492625368731,0.0181488203266787,339.0
Ross Seal,23,0.0,0.0,0.0,60.0
Short-Finned (Pacific),24,0.0495049504950495,0.0095419847328244,0.016,524.0
Sperm Whale,25,0.495263304541655,0.413660693507098,0.4507988840984022,8594.0
Spinner Dolphin,26,0.0175070028011204,0.0706214689265536,0.0280583613916947,354.0
Striped Dolphin,27,0.0,0.0,0.0,68.0
Walrus,28,0.0,0.0,0.0,146.0
Weddell Seal,29,0.0126050420168067,0.0120967741935483,0.0123456790123456,248.0
West Indian Manatee,30,0.0,0.0,0.0,59.0
White-beaked Dolphin,31,0.0,0.0,0.0,21.0
White-sided Dolphin,32,0.0076335877862595,0.0062111801242236,0.0068493150684931,161.0
