label,index,precision,recall,f1-score,support
Atlantic Spotted,0,0.0,0.0,0.0,35.0
Bearded Seal,1,0.028169014084507,0.0286885245901639,0.0284263959390862,488.0
"Beluga, White Whale",2,0.0,0.0,0.0,27.0
Bottlenose Dolphin,3,0.01953125,0.0153846153846153,0.0172117039586919,325.0
"Boutu, Amazon",4,0.0,0.0,0.0,14.0
Bowhead Whale,5,0.0293577981651376,0.0308880308880308,0.0301034807149576,518.0
Clymene Dolphin,6,0.0,0.0,0.0,112.0
Common Dolphin,7,0.0199203187250996,0.0208333333333333,0.020366598778004,240.0
Dall's Porpoise,8,0.0,0.0,0.0,3.0
Dusky Dolphin,9,0.0,0.0,0.0,37.0
False Killer Whale,10,0.0,0.0,0.0,86.0
"Fin, Finback Whale",11,0.1485628966032101,0.1481757259865971,0.1483690587138863,2686.0
Fraser's Dolphin,12,0.0103092783505154,0.0099009900990099,0.0101010101010101,101.0
"Grampus, Risso's",13,0.0,0.0,0.0,36.0
Gray Whale,14,0.0,0.0,0.0,20.0
Harbor Porpoise,15,0.0,0.0,0.0,40.0
Harp Seal,16,0.0,0.0,0.0,17.0
Heaviside's Dolphin,17,0.0,0.0,0.0,9.0
Humpback Whale,18,0.0701906412478336,0.0684699915469146,0.0693196405648267,1183.0
Irawaddy Dolphin,19,0.0,0.0,0.0,4.0
Killer Whale,20,0.0189573459715639,0.018735362997658,0.0188457008244994,427.0
Leopard Seal,21,0.0,0.0,0.0,30.0
Long Beaked,22,0.0,0.0,0.0,31.0
Long-Finned Pilot,23,0.0245901639344262,0.0262390670553935,0.0253878702397743,343.0
Melon Headed Whale,24,0.0,0.0,0.0,25.0
Minke Whale,25,0.0,0.0,0.0,26.0
Narwhal,26,0.0,0.0,0.0,3.0
Northern Right Whale,27,0.0138888888888888,0.0128205128205128,0.0133333333333333,78.0
Pantropical Spotted,28,0.0294117647058823,0.0293255131964809,0.0293685756240822,341.0
Ribbon Seal,29,0.0,0.0,0.0,14.0
Ross Seal,30,0.0112359550561797,0.0142857142857142,0.0125786163522012,70.0
Rough-Toothed Dolphin,31,0.0,0.0,0.0,2.0
Short-Finned (Pacific),32,0.0269662921348314,0.0237154150197628,0.0252365930599369,506.0
Southern Right Whale,33,0.0,0.0,0.0,12.0
Sperm Whale,34,0.4896034541529371,0.5020389141325877,0.4957432121491026,8583.0
Spinner Dolphin,35,0.0164835164835164,0.0169491525423728,0.0167130919220055,354.0
Spotted Seal,36,0.0,0.0,0.0,3.0
Striped Dolphin,37,0.0,0.0,0.0,78.0
Walrus,38,0.0,0.0,0.0,140.0
Weddell Seal,39,0.012,0.0119047619047619,0.0119521912350597,252.0
West Indian Manatee,40,0.0,0.0,0.0,68.0
White-beaked Dolphin,41,0.0,0.0,0.0,13.0
White-sided Dolphin,42,0.0061728395061728,0.0062111801242236,0.0061919504643962,161.0
