label,index,precision,recall,f1-score,support
Bearded Seal,0,0.026431718061674,0.0130434782608695,0.0174672489082969,460.0
Bottlenose Dolphin,1,0.025531914893617,0.0397350993377483,0.0310880829015544,302.0
Bowhead Whale,2,0.0293637846655791,0.0365111561866125,0.0325497287522604,493.0
Clymene Dolphin,3,0.0,0.0,0.0,106.0
Common Dolphin,4,0.0,0.0,0.0,242.0
False Killer Whale,5,0.0,0.0,0.0,74.0
"Fin, Finback Whale",6,0.1520825372564004,0.1525488692985818,0.152315346345197,2609.0
Fraser's Dolphin,7,0.0,0.0,0.0,69.0
"Grampus, Risso's",8,0.0,0.0,0.0,41.0
Humpback Whale,9,0.0774800868935554,0.084185680566483,0.0806938159879336,1271.0
Killer Whale,10,0.0231578947368421,0.022964509394572,0.0230607966457023,479.0
Long-Finned Pilot,11,0.0253968253968253,0.0245398773006134,0.0249609984399376,326.0
Northern Right Whale,12,0.0,0.0,0.0,71.0
Pantropical Spotted,13,0.0184615384615384,0.0192926045016077,0.0188679245283018,311.0
Ross Seal,14,0.0,0.0,0.0,67.0
Short-Finned (Pacific),15,0.032051282051282,0.0459558823529411,0.0377643504531722,544.0
Sperm Whale,16,0.5035160038797284,0.4802266419981498,0.4915956439393939,8648.0
Spinner Dolphin,17,0.0112994350282485,0.0115606936416184,0.0114285714285714,346.0
Striped Dolphin,18,0.0,0.0,0.0,75.0
Walrus,19,0.0301204819277108,0.0364963503649635,0.033003300330033,137.0
Weddell Seal,20,0.0072463768115942,0.0074074074074074,0.0073260073260073,270.0
West Indian Manatee,21,0.0,0.0,0.0,65.0
White-sided Dolphin,22,0.0232558139534883,0.0227272727272727,0.0229885057471264,176.0
