label,index,precision,recall,f1-score,support
Bearded Seal,0,0.0518867924528301,0.0224032586558044,0.0312944523470839,491.0
Bottlenose Dolphin,1,0.0,0.0,0.0,308.0
Bowhead Whale,2,0.0317040951122853,0.0476190476190476,0.0380650277557494,504.0
Common Dolphin,3,0.0047619047619047,0.0043859649122807,0.0045662100456621,228.0
"Fin, Finback Whale",4,0.1658291457286432,0.1656370656370656,0.1657330500289743,2590.0
Humpback Whale,5,0.0851063829787234,0.0844841592201462,0.0847941296371789,1231.0
Killer Whale,6,0.0127272727272727,0.0138067061143984,0.0132450331125827,507.0
Long-Finned Pilot,7,0.0271317829457364,0.0203488372093023,0.0232558139534883,344.0
Pantropical Spotted,8,0.0197368421052631,0.0175953079178885,0.0186046511627906,341.0
Short-Finned (Pacific),9,0.0263157894736842,0.0056179775280898,0.0092592592592592,534.0
Sperm Whale,10,0.5247200507077964,0.5790394031242714,0.5505431168255376,8578.0
Spinner Dolphin,11,0.0117994100294985,0.0114613180515759,0.0116279069767441,349.0
Weddell Seal,12,0.0242914979757085,0.0216606498194945,0.0229007633587786,277.0
