epoch,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,2_precision,2_recall,2_f1-score,2_support,3_precision,3_recall,3_f1-score,3_support,4_precision,4_recall,4_f1-score,4_support,5_precision,5_recall,5_f1-score,5_support,6_precision,6_recall,6_f1-score,6_support,7_precision,7_recall,7_f1-score,7_support,8_precision,8_recall,8_f1-score,8_support,9_precision,9_recall,9_f1-score,9_support,10_precision,10_recall,10_f1-score,10_support,11_precision,11_recall,11_f1-score,11_support,12_precision,12_recall,12_f1-score,12_support,13_precision,13_recall,13_f1-score,13_support,14_precision,14_recall,14_f1-score,14_support,15_precision,15_recall,15_f1-score,15_support,16_precision,16_recall,16_f1-score,16_support,17_precision,17_recall,17_f1-score,17_support,18_precision,18_recall,18_f1-score,18_support,19_precision,19_recall,19_f1-score,19_support,20_precision,20_recall,20_f1-score,20_support,21_precision,21_recall,21_f1-score,21_support,22_precision,22_recall,22_f1-score,22_support,23_precision,23_recall,23_f1-score,23_support,24_precision,24_recall,24_f1-score,24_support,25_precision,25_recall,25_f1-score,25_support,26_precision,26_recall,26_f1-score,26_support,27_precision,27_recall,27_f1-score,27_support,28_precision,28_recall,28_f1-score,28_support,29_precision,29_recall,29_f1-score,29_support,30_precision,30_recall,30_f1-score,30_support,31_precision,31_recall,31_f1-score,31_support,32_precision,32_recall,32_f1-score,32_support,33_precision,33_recall,33_f1-score,33_support,34_precision,34_recall,34_f1-score,34_support,35_precision,35_recall,35_f1-score,35_support,36_precision,36_recall,36_f1-score,36_support,37_precision,37_recall,37_f1-score,37_support,38_precision,38_recall,38_f1-score,38_support,39_precision,39_recall,39_f1-score,39_support,40_precision,40_recall,40_f1-score,40_support,41_precision,41_recall,41_f1-score,41_support,42_precision,42_recall,42_f1-score,42_support,43_precision,43_recall,43_f1-score,43_support,44_precision,44_recall,44_f1-score,44_support,45_precision,45_recall,45_f1-score,45_support,46_precision,46_recall,46_f1-score,46_support,47_precision,47_recall,47_f1-score,47_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,48_precision,48_recall,48_f1-score,48_support,49_precision,49_recall,49_f1-score,49_support
1,0.9411764705882353,0.5925925925925926,0.7272727272727273,27.0,0.5024154589371981,0.22559652928416485,0.31137724550898205,461.0,0.008670520231213872,0.1875,0.016574585635359115,16.0,0.5227272727272727,0.35384615384615387,0.42201834862385323,325.0,0.0,0.0,0.0,13.0,0.40784313725490196,0.6680942184154176,0.5064935064935064,467.0,1.0,0.4368932038834951,0.6081081081081081,103.0,0.948905109489051,0.5158730158730159,0.6683804627249358,252.0,0.0,0.0,0.0,4.0,0.9655172413793104,0.9655172413793104,0.9655172413793104,29.0,1.0,0.11764705882352941,0.21052631578947367,85.0,0.9850355405910961,0.9992409867172676,0.9920874152223059,2635.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,8.0,0.001142857142857143,0.75,0.002282236591860023,4.0,0.0,0.0,0.0,1252.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,478.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,2.0,0.045454545454545456,0.016666666666666666,0.024390243902439025,60.0,0.9601990049751243,0.5795795795795796,0.7228464419475655,333.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,531.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,8673.0,0.008089097303634232,0.1977077363896848,0.015542290798513346,349.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,162.0,0.20866096866096867,0.1728578386682175,0.1376407288218933,0.12902952437497792,17550.0,0.22755026057859493,0.20866096866096867,0.2094502366925256,17550.0,,,,,,,,
2,0.5217391304347826,0.8888888888888888,0.6575342465753424,27.0,0.6319444444444444,0.3947939262472885,0.48598130841121495,461.0,0.35714285714285715,0.3125,0.3333333333333333,16.0,0.0,0.0,0.0,325.0,0.9166666666666666,0.8461538461538461,0.88,13.0,0.5499254843517138,0.7901498929336188,0.648506151142355,467.0,0.9176470588235294,0.7572815533980582,0.8297872340425532,103.0,0.8991935483870968,0.8849206349206349,0.892,252.0,0.0,0.0,0.0,4.0,1.0,0.9655172413793104,0.9824561403508771,29.0,0.9367088607594937,0.8705882352941177,0.9024390243902439,85.0,0.9954562665656949,0.9977229601518026,0.9965883244882486,2635.0,0.0,0.0,0.0,3.0,0.16666666666666666,0.06818181818181818,0.0967741935483871,88.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1252.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,478.0,0.0,0.0,0.0,27.0,0.002717391304347826,0.038461538461538464,0.005076142131979695,26.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,2.0,1.0,0.25,0.4,60.0,0.9367816091954023,0.978978978978979,0.9574155653450808,333.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.8095238095238095,0.3269230769230769,0.4657534246575342,52.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,531.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,8673.0,0.0007372301211163771,0.02005730659025788,0.0014221861032100772,349.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,162.0,0.22763532763532762,0.21285702048775243,0.18782239797006475,0.19070134549040724,17550.0,0.23143359327131183,0.22763532763532762,0.22672708786598264,17550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.8,0.8888888888888888,0.8421052631578947,27.0,0.7183098591549296,0.3318872017353579,0.4540059347181009,461.0,0.3333333333333333,0.1875,0.24,16.0,0.5220588235294118,0.21846153846153846,0.3080260303687636,325.0,1.0,0.9230769230769231,0.96,13.0,0.5399239543726235,0.9122055674518201,0.678343949044586,467.0,0.9587628865979382,0.9029126213592233,0.93,103.0,0.9028776978417267,0.996031746031746,0.9471698113207547,252.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,29.0,0.9418604651162791,0.9529411764705882,0.9473684210526315,85.0,0.9969708443771299,0.9992409867172676,0.9981046247156937,2635.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,8.0,0.00078125,0.25,0.001557632398753894,4.0,0.0,0.0,0.0,1252.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,478.0,0.0,0.0,0.0,27.0,0.00273224043715847,0.038461538461538464,0.00510204081632653,26.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,2.0,0.8611111111111112,0.5166666666666667,0.6458333333333334,60.0,0.9753846153846154,0.9519519519519519,0.9635258358662614,333.0,0.5,0.16666666666666666,0.25,12.0,0.0,0.0,0.0,2.0,0.8085106382978723,0.7307692307692307,0.7676767676767676,52.0,1.0,0.5,0.6666666666666666,2.0,0.0,0.0,0.0,531.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,8673.0,0.00011457378551787351,0.0028653295128939827,0.00022033711578715433,349.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,162.0,0.23749287749287748,0.2572546458667929,0.229410560684446,0.23211413296504646,17550.0,0.24398109975332757,0.23749287749287748,0.23608717186851022,17550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.9615384615384616,0.9259259259259259,0.9433962264150944,27.0,0.5602836879432624,0.6854663774403471,0.6165853658536585,461.0,0.6363636363636364,0.4375,0.5185185185185185,16.0,0.425,0.10461538461538461,0.16790123456790124,325.0,1.0,0.9230769230769231,0.96,13.0,0.6243523316062176,0.5160599571734475,0.5650644783118406,467.0,1.0,0.9223300970873787,0.9595959595959596,103.0,0.9919678714859438,0.9801587301587301,0.9860279441117764,252.0,0.0,0.0,0.0,4.0,1.0,0.9655172413793104,0.9824561403508771,29.0,0.9540229885057471,0.9764705882352941,0.9651162790697675,85.0,0.994333207404609,0.9988614800759014,0.9965921999242711,2635.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1252.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,478.0,0.0,0.0,0.0,27.0,0.0028089887640449437,0.038461538461538464,0.005235602094240838,26.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,2.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,60.0,0.9646017699115044,0.9819819819819819,0.9732142857142857,333.0,0.6666666666666666,0.16666666666666666,0.26666666666666666,12.0,0.0,0.0,0.0,2.0,0.7647058823529411,0.75,0.7572815533980582,52.0,1.0,0.5,0.6666666666666666,2.0,0.0,0.0,0.0,531.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,8673.0,0.00022519986488008108,0.0057306590257879654,0.0004333694474539545,349.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,162.0,0.23612535612535612,0.26827074718149163,0.2349098043594257,0.24394838314747408,17550.0,0.24178896059928706,0.23612535612535612,0.23664333606067528,17550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.6857142857142857,0.8888888888888888,0.7741935483870968,27.0,0.7602040816326531,0.3232104121475054,0.4535768645357686,461.0,0.5,0.4375,0.4666666666666667,16.0,0.5235042735042735,0.7538461538461538,0.617906683480454,325.0,1.0,0.8461538461538461,0.9166666666666666,13.0,0.5795620437956205,0.8501070663811563,0.6892361111111112,467.0,0.8173913043478261,0.912621359223301,0.8623853211009175,103.0,0.8916967509025271,0.9801587301587301,0.9338374291115312,252.0,0.0,0.0,0.0,4.0,0.90625,1.0,0.9508196721311475,29.0,0.9873417721518988,0.9176470588235294,0.9512195121951219,85.0,0.9950887797506611,0.9996204933586338,0.9973494888299886,2635.0,0.0,0.0,0.0,3.0,0.011627906976744186,0.011363636363636364,0.011494252873563218,88.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1252.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,478.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,2.0,0.8703703703703703,0.7833333333333333,0.8245614035087719,60.0,0.8270676691729323,0.990990990990991,0.9016393442622951,333.0,0.625,0.4166666666666667,0.5,12.0,0.0,0.0,0.0,2.0,0.75,0.75,0.75,52.0,1.0,0.5,0.6666666666666666,2.0,0.0,0.0,0.0,531.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,8673.0,0.00022818026240730178,0.0057306590257879654,0.00043888523151195964,349.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,162.0,0.2472934472934473,0.254620948371644,0.2473567859072432,0.24537317033518563,17550.0,0.2421176352320166,0.2472934472934473,0.24101949096282593,17550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.5319148936170213,0.9259259259259259,0.6756756756756757,27.0,0.579047619047619,0.6594360086767896,0.6166328600405679,461.0,0.5,0.625,0.5555555555555556,16.0,0.43820224719101125,0.24,0.3101391650099404,325.0,0.9166666666666666,0.8461538461538461,0.88,13.0,0.6501457725947521,0.47751605995717344,0.5506172839506173,467.0,0.9120879120879121,0.8058252427184466,0.8556701030927835,103.0,0.842809364548495,1.0,0.9147005444646098,252.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,29.0,1.0,0.9764705882352941,0.9880952380952381,85.0,0.9992406985573272,0.9988614800759014,0.9990510533308028,2635.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1252.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,478.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,26.0,0.03225806451612903,0.0030864197530864196,0.005633802816901409,324.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,2.0,0.8571428571428571,0.7,0.7706422018348624,60.0,0.9507246376811594,0.984984984984985,0.967551622418879,333.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,12.0,0.0,0.0,0.0,2.0,0.7450980392156863,0.7307692307692307,0.7378640776699029,52.0,1.0,0.5,0.6666666666666666,2.0,0.0,0.0,0.0,531.0,0.0,0.0,0.0,11.0,0.0625,0.00011530035743110804,0.00023017608470479918,8673.0,0.0,0.0,0.0,349.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,162.0,0.2361823361823362,0.25369010879066606,0.23614956841882886,0.23878340942304305,17550.0,0.2717871492616967,0.2361823361823362,0.23716182619993176,17550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.71875,0.8518518518518519,0.7796610169491526,27.0,0.5676923076923077,0.8004338394793926,0.6642664266426642,461.0,0.35,0.4375,0.3888888888888889,16.0,0.5111111111111111,0.14153846153846153,0.2216867469879518,325.0,0.9090909090909091,0.7692307692307693,0.8333333333333334,13.0,0.8,0.3169164882226981,0.4539877300613497,467.0,0.808,0.9805825242718447,0.8859649122807017,103.0,0.9575289575289575,0.9841269841269841,0.9706457925636007,252.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,29.0,0.4909090909090909,0.9529411764705882,0.648,85.0,1.0,0.9499051233396585,0.9743090696769171,2635.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1252.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,478.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,2.0,1.0,0.6,0.75,60.0,0.9275766016713092,1.0,0.9624277456647399,333.0,1.0,0.16666666666666666,0.2857142857142857,12.0,0.0,0.0,0.0,2.0,0.7272727272727273,0.7692307692307693,0.7476635514018691,52.0,1.0,0.5,0.6666666666666666,2.0,0.0,0.0,0.0,531.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,8673.0,0.00022123893805309734,0.0057306590257879654,0.0004260304611779742,349.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,162.0,0.22695156695156696,0.27536305888428936,0.24453310626910948,0.244672843945866,17550.0,0.24463069341106128,0.22695156695156696,0.22956767783857057,17550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.8846153846153846,0.8518518518518519,0.8679245283018868,27.0,0.5532646048109966,0.6984815618221258,0.6174496644295302,461.0,0.5555555555555556,0.625,0.5882352941176471,16.0,0.474468085106383,0.6861538461538461,0.5610062893081761,325.0,1.0,0.9230769230769231,0.96,13.0,0.6275071633237822,0.4689507494646681,0.5367647058823529,467.0,1.0,0.9320388349514563,0.964824120603015,103.0,0.991701244813278,0.9484126984126984,0.9695740365111561,252.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,29.0,0.9120879120879121,0.9764705882352941,0.9431818181818182,85.0,0.9965934897804694,0.9992409867172676,0.9979154822815994,2635.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1252.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,478.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,26.0,0.04,0.0030864197530864196,0.0057306590257879654,324.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,2.0,0.9661016949152542,0.95,0.957983193277311,60.0,0.9736070381231672,0.996996996996997,0.9851632047477745,333.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,12.0,0.0,0.0,0.0,2.0,0.8113207547169812,0.8269230769230769,0.819047619047619,52.0,1.0,0.5,0.6666666666666666,2.0,0.0,0.0,0.0,531.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,8673.0,0.0001208313194780087,0.0028653295128939827,0.00023188405797101448,349.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,162.0,0.24683760683760683,0.2890722085167062,0.27445766394411036,0.27772287221769515,17550.0,0.24415410749748268,0.24683760683760683,0.2442214597504291,17550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
