epoch,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,2_precision,2_recall,2_f1-score,2_support,3_precision,3_recall,3_f1-score,3_support,4_precision,4_recall,4_f1-score,4_support,5_precision,5_recall,5_f1-score,5_support,6_precision,6_recall,6_f1-score,6_support,7_precision,7_recall,7_f1-score,7_support,8_precision,8_recall,8_f1-score,8_support,9_precision,9_recall,9_f1-score,9_support,10_precision,10_recall,10_f1-score,10_support,11_precision,11_recall,11_f1-score,11_support,12_precision,12_recall,12_f1-score,12_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
1,0.0,0.0,0.0,45.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,50.0,0.5194117647058824,1.0,0.683701122725513,883.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,34.0,0.5194117647058824,0.03995475113122172,0.07692307692307693,0.05259239405580869,1700.0,0.2697885813148789,0.5194117647058824,0.3551224066862517,1700.0
2,0.0,0.0,0.0,45.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,50.0,0.5194117647058824,1.0,0.683701122725513,883.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,34.0,0.5194117647058824,0.03995475113122172,0.07692307692307693,0.05259239405580869,1700.0,0.2697885813148789,0.5194117647058824,0.3551224066862517,1700.0
3,0.0,0.0,0.0,45.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,34.0,0.022774327122153208,0.275,0.04206500956022945,40.0,0.0,0.0,0.0,50.0,0.5299917830731307,0.7304643261608154,0.6142857142857143,883.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,34.0,0.38588235294117645,0.042520470015021836,0.07734340970467811,0.05048851721891875,1700.0,0.2758198338461532,0.38588235294117645,0.32005699182158526,1700.0
