epoch,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,2_precision,2_recall,2_f1-score,2_support,3_precision,3_recall,3_f1-score,3_support,4_precision,4_recall,4_f1-score,4_support,5_precision,5_recall,5_f1-score,5_support,6_precision,6_recall,6_f1-score,6_support,7_precision,7_recall,7_f1-score,7_support,8_precision,8_recall,8_f1-score,8_support,9_precision,9_recall,9_f1-score,9_support,10_precision,10_recall,10_f1-score,10_support,11_precision,11_recall,11_f1-score,11_support,12_precision,12_recall,12_f1-score,12_support,13_precision,13_recall,13_f1-score,13_support,14_precision,14_recall,14_f1-score,14_support,15_precision,15_recall,15_f1-score,15_support,16_precision,16_recall,16_f1-score,16_support,17_precision,17_recall,17_f1-score,17_support,18_precision,18_recall,18_f1-score,18_support,19_precision,19_recall,19_f1-score,19_support,20_precision,20_recall,20_f1-score,20_support,21_precision,21_recall,21_f1-score,21_support,22_precision,22_recall,22_f1-score,22_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
1,0.544055944055944,0.7955010224948875,0.6461794019933554,489.0,0.5112612612612613,0.6899696048632219,0.5873221216041398,329.0,0.6646706586826348,0.4396039603960396,0.5292014302741359,505.0,0.8214285714285714,0.8712121212121212,0.8455882352941176,132.0,0.7857142857142857,0.9693486590038314,0.8679245283018868,261.0,0.9848484848484849,0.7926829268292683,0.8783783783783784,82.0,0.9965357967667436,0.9988425925925926,0.9976878612716763,2592.0,0.7142857142857143,0.8791208791208791,0.7881773399014779,91.0,1.0,0.25,0.4,44.0,0.9411764705882353,0.9782783588093322,0.9593688362919132,1243.0,0.9893842887473461,0.9452332657200812,0.966804979253112,493.0,0.8823529411764706,0.8132530120481928,0.8463949843260188,332.0,0.7222222222222222,0.2549019607843137,0.37681159420289856,51.0,0.9047619047619048,0.9938461538461538,0.9472140762463344,325.0,0.9555555555555556,0.8113207547169812,0.8775510204081632,53.0,0.9380530973451328,0.19776119402985073,0.3266563944530046,536.0,0.9242828552368245,0.9691070179529028,0.9461643523787844,8578.0,0.9846625766871165,0.9093484419263456,0.9455081001472754,353.0,0.6964285714285714,0.47560975609756095,0.5652173913043478,82.0,0.9375,0.5769230769230769,0.7142857142857143,130.0,0.9943181818181818,0.6386861313868614,0.7777777777777778,274.0,1.0,1.0,1.0,60.0,0.9726027397260274,0.9659863945578231,0.9692832764505119,147.0,0.9028634617623094,0.8637435705364014,0.7485450993614052,0.7721520780236968,17182.0,0.9091828276791813,0.9028634617623094,0.8942799339199843,17182.0
2,0.23389021479713604,0.20040899795501022,0.21585903083700442,489.0,0.0,0.0,0.0,329.0,0.5037174721189591,0.5366336633663367,0.5196548418024928,505.0,0.3783783783783784,0.8484848484848485,0.5233644859813084,132.0,0.9139344262295082,0.8544061302681992,0.8831683168316832,261.0,0.08280254777070063,0.9512195121951219,0.15234375,82.0,1.0,0.7754629629629629,0.8735332464146024,2592.0,0.09488272921108742,0.978021978021978,0.1729834791059281,91.0,0.75,0.06818181818181818,0.125,44.0,1.0,0.413515687851971,0.585088218554354,1243.0,0.9463722397476341,0.6085192697768763,0.7407407407407407,493.0,0.3159235668789809,0.7469879518072289,0.4440465532676813,332.0,0.0,0.0,0.0,51.0,0.9783393501805054,0.8338461538461538,0.9003322259136213,325.0,0.6666666666666666,0.07547169811320754,0.13559322033898305,53.0,0.5974683544303797,0.44029850746268656,0.5069817400644469,536.0,0.8963138851198552,0.9241081837258102,0.9099988520261738,8578.0,0.9725085910652921,0.8016997167138811,0.8788819875776398,353.0,0.5689655172413793,0.4024390243902439,0.4714285714285714,82.0,1.0,0.15384615384615385,0.26666666666666666,130.0,1.0,0.28102189781021897,0.43874643874643876,274.0,1.0,0.9833333333333333,0.9915966386554622,60.0,0.8108108108108109,0.8163265306122449,0.8135593220338984,147.0,0.7552089395879409,0.6396075978542293,0.551923218292447,0.502155144651639,17182.0,0.8408428475291796,0.7552089395879409,0.772073008546099,17182.0
3,0.5622641509433962,0.6094069529652352,0.5848871442590775,489.0,0.4608695652173913,0.16109422492401215,0.23873873873873874,329.0,0.6152304609218436,0.6079207920792079,0.6115537848605578,505.0,0.9624060150375939,0.9696969696969697,0.9660377358490566,132.0,1.0,0.8275862068965517,0.9056603773584906,261.0,0.9743589743589743,0.926829268292683,0.95,82.0,0.9996140486298727,0.9992283950617284,0.9994211846420992,2592.0,0.8627450980392157,0.967032967032967,0.9119170984455959,91.0,0.9565217391304348,0.5,0.6567164179104478,44.0,0.9895666131621188,0.9919549477071601,0.9907593411008437,1243.0,0.9898373983739838,0.9878296146044625,0.9888324873096447,493.0,0.8158567774936062,0.9608433734939759,0.8824343015214384,332.0,0.9411764705882353,0.6274509803921569,0.7529411764705882,51.0,0.9441176470588235,0.9876923076923076,0.9654135338345865,325.0,0.9772727272727273,0.8113207547169812,0.8865979381443299,53.0,0.7715736040609137,0.2835820895522388,0.4147339699863574,536.0,0.9227575658254125,0.9846117976218233,0.952681743838475,8578.0,0.9830028328611898,0.9830028328611898,0.9830028328611898,353.0,0.8636363636363636,0.6951219512195121,0.7702702702702703,82.0,0.9578947368421052,0.7,0.8088888888888889,130.0,0.9490909090909091,0.9525547445255474,0.9508196721311475,274.0,0.9523809523809523,1.0,0.975609756097561,60.0,0.9863013698630136,0.9795918367346939,0.9829351535836177,147.0,0.9178791758817367,0.8886293922082208,0.8049718699161481,0.8317762412218698,17182.0,0.9105935128665096,0.9178791758817367,0.9080410237715237,17182.0
4,0.5578800557880056,0.8179959100204499,0.6633499170812603,489.0,0.0,0.0,0.0,329.0,0.7160493827160493,0.3445544554455445,0.46524064171123,505.0,0.9464285714285714,0.803030303030303,0.8688524590163934,132.0,0.9676113360323887,0.9157088122605364,0.9409448818897638,261.0,1.0,0.7195121951219512,0.8368794326241135,82.0,1.0,0.998070987654321,0.9990345626568836,2592.0,0.8350515463917526,0.8901098901098901,0.8617021276595744,91.0,0.9444444444444444,0.38636363636363635,0.5483870967741935,44.0,0.9785544082605242,0.9911504424778761,0.9848121502797762,1243.0,0.989010989010989,0.9127789046653144,0.9493670886075949,493.0,0.9113924050632911,0.8674698795180723,0.8888888888888888,332.0,0.582089552238806,0.7647058823529411,0.6610169491525424,51.0,0.782608695652174,0.9969230769230769,0.8768606224627875,325.0,0.8909090909090909,0.9245283018867925,0.9074074074074074,53.0,0.7716049382716049,0.2332089552238806,0.35816618911174786,536.0,0.8954564577198149,0.9925390533923991,0.9415017140329537,8578.0,1.0,0.8243626062322946,0.9037267080745341,353.0,0.7411764705882353,0.7682926829268293,0.7544910179640718,82.0,0.819047619047619,0.6615384615384615,0.7319148936170212,130.0,0.989247311827957,0.6715328467153284,0.8,274.0,1.0,1.0,1.0,60.0,0.9928057553956835,0.9387755102040817,0.965034965034965,147.0,0.9024560586660458,0.8396247404689999,0.7575283823506078,0.7785904223499003,17182.0,0.8865815198664505,0.9024560586660458,0.8846229655291405,17182.0
5,0.6666666666666666,0.31901840490797545,0.4315352697095436,489.0,0.0,0.0,0.0,329.0,0.551440329218107,0.7960396039603961,0.6515397082658023,505.0,0.9555555555555556,0.9772727272727273,0.9662921348314607,132.0,0.9949494949494949,0.7547892720306514,0.8583877995642701,261.0,0.6896551724137931,0.975609756097561,0.8080808080808081,82.0,1.0,0.9637345679012346,0.981532416502947,2592.0,0.38961038961038963,0.989010989010989,0.5590062111801242,91.0,0.7368421052631579,0.3181818181818182,0.4444444444444444,44.0,0.9941634241245136,0.8222043443282381,0.9000440334654337,1243.0,0.9733009708737864,0.8133874239350912,0.8861878453038674,493.0,0.562874251497006,0.8493975903614458,0.6770708283313326,332.0,0.6744186046511628,0.5686274509803921,0.6170212765957447,51.0,0.9668674698795181,0.9876923076923076,0.9771689497716894,325.0,0.9705882352941176,0.6226415094339622,0.7586206896551724,53.0,0.7079207920792079,0.2667910447761194,0.3875338753387534,536.0,0.9009764381235407,0.9896246211238051,0.9432222222222222,8578.0,0.9333333333333333,0.9915014164305949,0.9615384615384616,353.0,0.6542056074766355,0.8536585365853658,0.7407407407407407,82.0,0.7888888888888889,0.5461538461538461,0.6454545454545455,130.0,0.867704280155642,0.8138686131386861,0.839924670433145,274.0,1.0,1.0,1.0,60.0,0.8726114649681529,0.9319727891156463,0.9013157894736842,147.0,0.8844721219881271,0.7761988467401162,0.745703418844298,0.7363766400393128,17182.0,0.8746920283007801,0.8844721219881271,0.8699528380315271,17182.0
6,0.5526315789473685,0.901840490797546,0.6853146853146853,489.0,0.4879310344827586,0.8601823708206687,0.6226622662266227,329.0,0.7589285714285714,0.33663366336633666,0.4663923182441701,505.0,0.9745762711864406,0.8712121212121212,0.92,132.0,0.9774436090225563,0.9961685823754789,0.9867172675521821,261.0,0.9814814814814815,0.6463414634146342,0.7794117647058824,82.0,0.9957741067998463,1.0,0.9978825794032724,2592.0,0.9682539682539683,0.6703296703296703,0.7922077922077922,91.0,0.7586206896551724,0.5,0.6027397260273972,44.0,0.9546502690238279,0.999195494770716,0.9764150943396226,1243.0,0.9130434782608695,0.9797160243407708,0.9452054794520548,493.0,0.9382239382239382,0.7319277108433735,0.8223350253807107,332.0,0.7083333333333334,0.6666666666666666,0.6868686868686869,51.0,0.9872611464968153,0.9538461538461539,0.9702660406885759,325.0,0.9615384615384616,0.9433962264150944,0.9523809523809523,53.0,0.7522123893805309,0.31716417910447764,0.4461942257217848,536.0,0.9415412886183531,0.95570062951737,0.9485681226496963,8578.0,0.9855491329479769,0.9660056657223796,0.9756795422031473,353.0,0.8571428571428571,0.7317073170731707,0.7894736842105263,82.0,0.6714285714285714,0.7230769230769231,0.6962962962962963,130.0,0.9958847736625515,0.8832116788321168,0.9361702127659575,274.0,0.9230769230769231,1.0,0.96,60.0,0.9591836734693877,0.9591836734693877,0.9591836734693877,147.0,0.9117099289954603,0.8697700672983723,0.8084133350432632,0.8225376276569306,17182.0,0.9190694986977436,0.9117099289954603,0.9072167238385037,17182.0
