label,index,precision,recall,f1-score,support
Bearded Seal,0,0.5756929637526652,0.5498981670061099,0.5625,491.0
Bottlenose Dolphin,1,0.4270833333333333,0.1331168831168831,0.2029702970297029,308.0
Bowhead Whale,2,0.628428927680798,0.5,0.5569060773480663,504.0
Common Dolphin,3,0.9344262295081968,1.0,0.9661016949152542,228.0
"Fin, Finback Whale",4,1.0,0.991891891891892,0.9959294436906376,2590.0
Humpback Whale,5,0.9807370184254608,0.951259138911454,0.9657731958762886,1231.0
Killer Whale,6,0.8787346221441125,0.9861932938856016,0.929368029739777,507.0
Long-Finned Pilot,7,0.8579234972677595,0.9127906976744186,0.8845070422535212,344.0
Pantropical Spotted,8,0.9851632047477744,0.9736070381231672,0.9793510324483776,341.0
Short-Finned (Pacific),9,0.7111111111111111,0.3595505617977528,0.4776119402985074,534.0
Sperm Whale,10,0.923566180502248,0.9818139426439728,0.9517997400689382,8578.0
Spinner Dolphin,11,0.9939024390243902,0.9340974212034384,0.9630723781388478,349.0
Weddell Seal,12,0.809375,0.9350180505415162,0.8676716917922948,277.0
