label,index,precision,recall,f1-score,support
Atlantic Spotted,0,1.0,0.696969696969697,0.8214285714285714,33.0
Bearded Seal,1,0.5185185185185185,0.4251626898047722,0.467222884386174,461.0
"Beluga, White Whale",2,0.2142857142857142,0.1935483870967742,0.2033898305084746,31.0
Bottlenose Dolphin,3,0.3214285714285714,0.0865384615384615,0.1363636363636363,312.0
Bowhead Whale,4,0.5105633802816901,0.6223175965665236,0.5609284332688588,466.0
Clymene Dolphin,5,0.864406779661017,0.9026548672566372,0.8831168831168831,113.0
Common Dolphin,6,0.9857142857142858,0.9,0.9409090909090908,230.0
Dusky Dolphin,7,1.0,1.0,1.0,27.0
False Killer Whale,8,1.0,0.9090909090909092,0.9523809523809524,66.0
"Fin, Finback Whale",9,0.9992313604919292,0.995787054768288,0.9975062344139652,2611.0
Fraser's Dolphin,10,0.6014492753623188,0.7980769230769231,0.6859504132231405,104.0
"Grampus, Risso's",11,1.0,0.1212121212121212,0.2162162162162162,33.0
Gray Whale,12,1.0,0.1818181818181818,0.3076923076923077,11.0
Harbor Porpoise,13,1.0,0.8148148148148148,0.8979591836734694,27.0
Humpback Whale,14,1.0,0.5604133545310016,0.7182883341823739,1258.0
Killer Whale,15,0.9910979228486648,0.7061310782241015,0.8246913580246914,473.0
Leopard Seal,16,0.0,0.0,0.0,32.0
Long Beaked,17,1.0,0.8947368421052632,0.9444444444444444,38.0
Long-Finned Pilot,18,0.4457308248914616,0.8953488372093024,0.5951690821256038,344.0
Melon Headed Whale,19,0.8333333333333334,0.7142857142857143,0.7692307692307693,21.0
Minke Whale,20,1.0,1.0,1.0,35.0
Northern Right Whale,21,0.8285714285714286,0.4677419354838709,0.5979381443298969,62.0
Pantropical Spotted,22,0.9464285714285714,0.9665653495440728,0.956390977443609,329.0
Ross Seal,23,0.5454545454545454,0.0952380952380952,0.1621621621621621,63.0
Short-Finned (Pacific),24,0.8238993710691824,0.2425925925925925,0.3748211731044349,540.0
Sperm Whale,25,0.8823105436573312,0.99040684234859,0.9332389457634502,8652.0
Spinner Dolphin,26,0.9276485788113696,0.97289972899729,0.9497354497354498,369.0
Striped Dolphin,27,0.912280701754386,0.7428571428571429,0.8188976377952756,70.0
Walrus,28,1.0,0.4609929078014184,0.6310679611650486,141.0
Weddell Seal,29,0.7566765578635015,0.9807692307692308,0.8542713567839196,260.0
West Indian Manatee,30,1.0,0.9846153846153848,0.992248062015504,65.0
White-beaked Dolphin,31,1.0,0.5909090909090909,0.7428571428571429,22.0
White-sided Dolphin,32,0.8047619047619048,0.9883040935672516,0.8871391076115486,171.0
