label,index,precision,recall,f1-score,support
Atlantic Spotted,0,0.7631578947368421,0.8529411764705882,0.8055555555555556,34.0
Bearded Seal,1,0.52046783625731,0.553941908713693,0.5366834170854271,482.0
"Beluga, White Whale",2,0.6,0.4090909090909091,0.4864864864864865,22.0
Bottlenose Dolphin,3,0.4846938775510204,0.3044871794871794,0.374015748031496,312.0
"Boutu, Amazon",4,0.0,0.0,0.0,5.0
Bowhead Whale,5,0.5797101449275363,0.5544554455445545,0.5668016194331984,505.0
Clymene Dolphin,6,0.9818181818181818,0.864,0.9191489361702128,125.0
Common Dolphin,7,1.0,0.7782101167315175,0.87527352297593,257.0
Dall's Porpoise,8,1.0,1.0,1.0,6.0
Dusky Dolphin,9,1.0,1.0,1.0,38.0
False Killer Whale,10,0.9506172839506172,0.9506172839506172,0.9506172839506172,81.0
"Fin, Finback Whale",11,0.9996121024049652,0.994980694980695,0.9972910216718266,2590.0
Fraser's Dolphin,12,0.7717391304347826,0.922077922077922,0.8402366863905325,77.0
"Grampus, Risso's",13,1.0,0.1025641025641025,0.1860465116279069,39.0
Gray Whale,14,0.9523809523809524,0.9090909090909092,0.9302325581395348,22.0
Harbor Porpoise,15,0.8333333333333334,0.7142857142857143,0.7692307692307693,28.0
Harp Seal,16,0.75,0.2307692307692307,0.3529411764705882,13.0
Heaviside's Dolphin,17,1.0,0.5555555555555556,0.7142857142857143,9.0
Humpback Whale,18,0.9967051070840196,0.976594027441485,0.9865470852017936,1239.0
Irawaddy Dolphin,19,0.0,0.0,0.0,3.0
Killer Whale,20,0.9846153846153848,0.9087221095334684,0.9451476793248944,493.0
Leopard Seal,21,0.575,0.7666666666666667,0.6571428571428571,30.0
Long Beaked,22,0.9615384615384616,0.925925925925926,0.9433962264150944,27.0
Long-Finned Pilot,23,0.8913043478260869,0.9085872576177284,0.8998628257887518,361.0
Melon Headed Whale,24,0.53125,0.9444444444444444,0.68,18.0
Minke Whale,25,1.0,1.0,1.0,32.0
Narwhal,26,1.0,0.75,0.8571428571428571,4.0
Northern Right Whale,27,0.7941176470588235,0.9310344827586208,0.8571428571428571,58.0
Pantropical Spotted,28,0.9654088050314464,0.941717791411043,0.953416149068323,326.0
Ribbon Seal,29,1.0,0.0714285714285714,0.1333333333333333,14.0
Ross Seal,30,0.7936507936507936,0.7142857142857143,0.7518796992481203,70.0
Rough-Toothed Dolphin,31,1.0,0.3333333333333333,0.5,3.0
Short-Finned (Pacific),32,0.601823708206687,0.3694029850746269,0.4578034682080925,536.0
Southern Right Whale,33,0.9230769230769232,0.9230769230769232,0.9230769230769232,13.0
Sperm Whale,34,0.9263939696264272,0.9751458576429404,0.9501449604911604,8570.0
Spinner Dolphin,35,0.9464788732394366,0.979591836734694,0.9627507163323782,343.0
Spotted Seal,36,0.0,0.0,0.0,4.0
Striped Dolphin,37,0.5483870967741935,0.918918918918919,0.6868686868686869,74.0
Walrus,38,0.7419354838709677,0.7371794871794872,0.7395498392282959,156.0
Weddell Seal,39,0.947565543071161,0.9547169811320756,0.9511278195488722,265.0
West Indian Manatee,40,1.0,1.0,1.0,73.0
White-beaked Dolphin,41,1.0,0.7142857142857143,0.8333333333333334,21.0
White-sided Dolphin,42,0.95625,0.9386503067484664,0.9473684210526316,163.0
