label,index,precision,recall,f1-score,support
Atlantic Spotted,0,0.8846153846153846,0.8518518518518519,0.8679245283018868,27.0
Bearded Seal,1,0.5532646048109966,0.6984815618221258,0.6174496644295302,461.0
"Beluga, White Whale",2,0.5555555555555556,0.625,0.5882352941176471,16.0
Bottlenose Dolphin,3,0.474468085106383,0.6861538461538461,0.5610062893081761,325.0
"Boutu, Amazon",4,1.0,0.9230769230769232,0.96,13.0
Bowhead Whale,5,0.6275071633237822,0.4689507494646681,0.5367647058823529,467.0
Clymene Dolphin,6,1.0,0.9320388349514565,0.964824120603015,103.0
Common Dolphin,7,0.991701244813278,0.9484126984126984,0.969574036511156,252.0
Dall's Porpoise,8,1.0,1.0,1.0,4.0
Dusky Dolphin,9,1.0,1.0,1.0,29.0
False Killer Whale,10,0.912087912087912,0.976470588235294,0.9431818181818182,85.0
"Fin, Finback Whale",11,0.9965934897804694,0.9992409867172676,0.9979154822815994,2635.0
Fraser's Dolphin,12,0.0,0.0,0.0,3.0
"Grampus, Risso's",13,0.0,0.0,0.0,88.0
Gray Whale,14,0.0,0.0,0.0,35.0
Harbor Porpoise,15,0.0,0.0,0.0,29.0
Harp Seal,16,0.0,0.0,0.0,38.0
Heaviside's Dolphin,17,0.0,0.0,0.0,17.0
Hooded Seal,18,0.0,0.0,0.0,8.0
Humpback Whale,19,0.0,0.0,0.0,4.0
Irawaddy Dolphin,20,0.0,0.0,0.0,1252.0
Juan Fernandez,21,0.0,0.0,0.0,2.0
Killer Whale,22,0.0,0.0,0.0,3.0
Leopard Seal,23,0.0,0.0,0.0,478.0
Long Beaked,24,0.0,0.0,0.0,27.0
Long-Finned Pilot,25,0.0,0.0,0.0,26.0
Melon Headed Whale,26,0.04,0.0030864197530864,0.0057306590257879,324.0
Minke Whale,27,0.0,0.0,0.0,23.0
Narwhal,28,0.0,0.0,0.0,41.0
New Zealand Fur Seal,29,0.0,0.0,0.0,2.0
Northern Right Whale,30,0.9661016949152542,0.95,0.957983193277311,60.0
Pantropical Spotted,31,0.9736070381231672,0.996996996996997,0.9851632047477744,333.0
Ribbon Seal,32,0.6666666666666666,0.3333333333333333,0.4444444444444444,12.0
Ringed Seal,33,0.0,0.0,0.0,2.0
Ross Seal,34,0.8113207547169812,0.8269230769230769,0.819047619047619,52.0
Rough-Toothed Dolphin,35,1.0,0.5,0.6666666666666666,2.0
Sea Otter,36,0.0,0.0,0.0,531.0
Short-Finned (Pacific),37,0.0,0.0,0.0,11.0
Southern Right Whale,38,0.0,0.0,0.0,8673.0
Sperm Whale,39,0.000120831319478,0.0028653295128939,0.000231884057971,349.0
Spinner Dolphin,40,0.0,0.0,0.0,6.0
Spotted Seal,41,0.0,0.0,0.0,66.0
Steller Sea Lion,42,0.0,0.0,0.0,3.0
Striped Dolphin,43,0.0,0.0,0.0,127.0
Tucuxi Dolphin,44,0.0,0.0,0.0,249.0
Walrus,45,0.0,0.0,0.0,77.0
Weddell Seal,46,0.0,0.0,0.0,18.0
West Indian Manatee,47,0.0,0.0,0.0,162.0
White-beaked Dolphin,48,0.0,0.0,0.0,0.0
White-sided Dolphin,49,0.0,0.0,0.0,0.0
