label,index,precision,recall,f1-score,support
Bearded Seal,0,0.5526315789473685,0.901840490797546,0.6853146853146853,489.0
Bottlenose Dolphin,1,0.4879310344827586,0.8601823708206687,0.6226622662266227,329.0
Bowhead Whale,2,0.7589285714285714,0.3366336633663366,0.4663923182441701,505.0
Clymene Dolphin,3,0.9745762711864406,0.8712121212121212,0.92,132.0
Common Dolphin,4,0.9774436090225564,0.9961685823754788,0.986717267552182,261.0
False Killer Whale,5,0.9814814814814816,0.6463414634146342,0.7794117647058824,82.0
"Fin, Finback Whale",6,0.9957741067998463,1.0,0.9978825794032724,2592.0
Fraser's Dolphin,7,0.9682539682539684,0.6703296703296703,0.7922077922077922,91.0
"Grampus, Risso's",8,0.7586206896551724,0.5,0.6027397260273972,44.0
Humpback Whale,9,0.954650269023828,0.999195494770716,0.9764150943396226,1243.0
Killer Whale,10,0.9130434782608696,0.9797160243407708,0.9452054794520548,493.0
Long-Finned Pilot,11,0.9382239382239382,0.7319277108433735,0.8223350253807107,332.0
Northern Right Whale,12,0.7083333333333334,0.6666666666666666,0.6868686868686869,51.0
Pantropical Spotted,13,0.9872611464968152,0.953846153846154,0.970266040688576,325.0
Ross Seal,14,0.9615384615384616,0.9433962264150944,0.9523809523809524,53.0
Short-Finned (Pacific),15,0.7522123893805309,0.3171641791044776,0.4461942257217848,536.0
Sperm Whale,16,0.9415412886183532,0.95570062951737,0.9485681226496964,8578.0
Spinner Dolphin,17,0.9855491329479767,0.9660056657223796,0.9756795422031472,353.0
Striped Dolphin,18,0.8571428571428571,0.7317073170731707,0.7894736842105263,82.0
Walrus,19,0.6714285714285714,0.7230769230769231,0.6962962962962963,130.0
Weddell Seal,20,0.9958847736625516,0.8832116788321168,0.9361702127659576,274.0
West Indian Manatee,21,0.9230769230769232,1.0,0.96,60.0
White-sided Dolphin,22,0.9591836734693876,0.9591836734693876,0.9591836734693876,147.0
