epoch,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,2_precision,2_recall,2_f1-score,2_support,3_precision,3_recall,3_f1-score,3_support,4_precision,4_recall,4_f1-score,4_support,5_precision,5_recall,5_f1-score,5_support,6_precision,6_recall,6_f1-score,6_support,7_precision,7_recall,7_f1-score,7_support,8_precision,8_recall,8_f1-score,8_support,9_precision,9_recall,9_f1-score,9_support,10_precision,10_recall,10_f1-score,10_support,11_precision,11_recall,11_f1-score,11_support,12_precision,12_recall,12_f1-score,12_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
1,0.5059602649006623,0.8162393162393162,0.624693376941946,468.0,0.0,0.0,0.0,323.0,0.7115384615384616,0.3523809523809524,0.4713375796178344,525.0,1.0,0.3577981651376147,0.527027027027027,218.0,0.9996224990562477,0.9921318846009741,0.9958631064309891,2669.0,0.9981042654028436,0.85125303152789,0.918848167539267,1237.0,0.7565674255691769,0.9,0.8220742150333016,480.0,0.8341463414634146,0.5229357798165137,0.6428571428571429,327.0,0.9318801089918256,0.9421487603305785,0.936986301369863,363.0,0.9743589743589743,0.20802919708029197,0.34285714285714286,548.0,0.8756846129998966,0.9967066572571159,0.9322845040981352,8502.0,0.9498432601880877,0.8463687150837989,0.8951255539143279,358.0,0.9650655021834061,0.8371212121212122,0.896551724137931,264.0,0.884596486918069,0.8079055166656152,0.6633164362750968,0.6928081416788389,16282.0,0.8769822931739966,0.884596486918069,0.8638695211792041,16282.0
2,0.8055555555555556,0.24786324786324787,0.3790849673202614,468.0,0.0,0.0,0.0,323.0,0.5876168224299065,0.9580952380952381,0.7284576393917451,525.0,1.0,0.8119266055045872,0.8962025316455696,218.0,0.9958878504672897,0.9981266391907081,0.9970059880239521,2669.0,0.9966386554621849,0.9587712206952304,0.9773382777091059,1237.0,0.9848156182212582,0.9458333333333333,0.9649309245483528,480.0,0.926829268292683,0.9296636085626911,0.9282442748091603,327.0,0.9972067039106145,0.9834710743801653,0.9902912621359223,363.0,0.6106382978723405,0.5237226277372263,0.5638506876227898,548.0,0.9238561727707892,0.9761232651140908,0.9492708035458964,8502.0,0.9834710743801653,0.9972067039106145,0.9902912621359223,358.0,0.9386281588447654,0.9848484848484849,0.9611829944547134,264.0,0.9190517135487041,0.8270110906313503,0.7935116960950475,0.7943193548725686,16282.0,0.9041439423394849,0.9190517135487041,0.9052540344916917,16282.0
3,0.559322033898305,0.4230769230769231,0.48175182481751827,468.0,0.2,0.0030959752321981426,0.006097560975609756,323.0,0.5840130505709625,0.6819047619047619,0.6291739894551845,525.0,0.9952153110047847,0.9541284403669725,0.9742388758782201,218.0,0.9973772948669913,0.9973772948669913,0.9973772948669913,2669.0,0.949034749034749,0.9935327405012127,0.9707740916271722,1237.0,0.8450450450450451,0.9770833333333333,0.9062801932367149,480.0,0.9372822299651568,0.8226299694189603,0.8762214983713354,327.0,0.9971910112359551,0.977961432506887,0.9874826147426982,363.0,0.5846867749419954,0.45985401459854014,0.5148110316649642,548.0,0.9297673895943365,0.9731827805222301,0.9509798287454744,8502.0,0.9829059829059829,0.9636871508379888,0.9732016925246827,358.0,0.9573643410852714,0.9356060606060606,0.946360153256705,264.0,0.9130942144699669,0.8091696318576567,0.7817785290594661,0.7857500500125594,16282.0,0.8960748655321326,0.9130942144699669,0.9015209854170639,16282.0
4,0.5423728813559322,0.41025641025641024,0.46715328467153283,468.0,0.0,0.0,0.0,323.0,0.5577956989247311,0.7904761904761904,0.6540583136327817,525.0,1.0,0.5596330275229358,0.7176470588235294,218.0,1.0,0.991007868115399,0.9954836281520512,2669.0,0.9990800367985281,0.8779304769603881,0.9345955249569707,1237.0,0.9383886255924171,0.825,0.8780487804878049,480.0,0.8647058823529412,0.8990825688073395,0.881559220389805,327.0,0.9969879518072289,0.9118457300275482,0.9525179856115108,363.0,0.5845864661654135,0.5675182481751825,0.575925925925926,548.0,0.9116284201235657,0.9718889673018113,0.9407947170670614,8502.0,0.8833746898263027,0.994413407821229,0.9356110381077529,358.0,0.9789029535864979,0.8787878787878788,0.9261477045908184,264.0,0.8993366908242231,0.7890633543487353,0.744449290327101,0.7584263986475034,16282.0,0.8850463073518909,0.8993366908242231,0.8893679538546444,16282.0
5,0.5351239669421488,0.5534188034188035,0.5441176470588235,468.0,0.5020661157024794,0.7523219814241486,0.6022304832713755,323.0,0.6,0.5885714285714285,0.5942307692307692,525.0,1.0,0.9724770642201835,0.986046511627907,218.0,0.999624765478424,0.9981266391907081,0.9988751406074241,2669.0,0.9943548387096774,0.9967663702506063,0.9955591441259588,1237.0,0.9896265560165975,0.99375,0.9916839916839917,480.0,0.9385113268608414,0.8868501529051988,0.9119496855345912,327.0,0.9972375690607734,0.9944903581267218,0.9958620689655172,363.0,0.6131045241809673,0.7171532846715328,0.6610597140454163,548.0,0.9659338004348876,0.9404845918607386,0.9530393325387366,8502.0,0.9971751412429378,0.9860335195530726,0.9915730337078652,358.0,1.0,0.9696969696969697,0.9846153846153847,264.0,0.9240879498833067,0.8563660465099796,0.8730877818377009,0.8623725313087509,16282.0,0.9308973802911614,0.9240879498833067,0.9267435044973568,16282.0
6,0.6875,0.023504273504273504,0.045454545454545456,468.0,0.4444444444444444,0.01238390092879257,0.024096385542168676,323.0,0.5714285714285714,0.6857142857142857,0.6233766233766234,525.0,0.5731225296442688,0.6651376146788991,0.6157112526539278,218.0,0.9973772948669913,0.9973772948669913,0.9973772948669913,2669.0,0.64375,0.9991915925626516,0.7830218561925879,1237.0,0.7471819645732689,0.9666666666666667,0.8428701180744778,480.0,0.8540145985401459,0.3577981651376147,0.5043103448275862,327.0,1.0,0.4325068870523416,0.6038461538461538,363.0,0.4634146341463415,0.41605839416058393,0.43846153846153846,548.0,0.9198468985703028,0.9610679840037638,0.9400057520851308,8502.0,1.0,0.5949720670391061,0.7460595446584939,358.0,0.7695035460992907,0.821969696969697,0.7948717948717948,264.0,0.8589239651148508,0.7439680371010482,0.6103345248681283,0.6122664003778477,16282.0,0.8589309434383322,0.8589239651148508,0.8364436965780301,16282.0
7,0.5486842105263158,0.8910256410256411,0.6791530944625407,468.0,0.4647887323943662,0.1021671826625387,0.16751269035532995,323.0,0.7786561264822134,0.37523809523809526,0.506426735218509,525.0,0.9908256880733946,0.9908256880733946,0.9908256880733946,218.0,0.9996244836650394,0.9973772948669913,0.9984996249062266,2669.0,0.9983660130718954,0.9878738884397736,0.9930922389272654,1237.0,0.9978902953586498,0.9854166666666667,0.9916142557651991,480.0,0.9226361031518625,0.9847094801223242,0.9526627218934911,327.0,1.0,0.9889807162534435,0.9944598337950139,363.0,0.5833333333333334,0.4854014598540146,0.5298804780876494,548.0,0.934338852347471,0.969066102093625,0.9513856812933026,8502.0,0.9807162534435262,0.994413407821229,0.9875173370319001,358.0,0.9562043795620438,0.9924242424242424,0.9739776951672863,264.0,0.9227367645252426,0.8581588054930855,0.8265322973493832,0.8243852365367008,16282.0,0.9179045113824851,0.9227367645252426,0.9142289790341503,16282.0
8,0.73,0.31196581196581197,0.437125748502994,468.0,0.17647058823529413,0.009287925696594427,0.01764705882352941,323.0,0.5942211055276382,0.900952380952381,0.7161241483724451,525.0,0.9953917050691244,0.9908256880733946,0.993103448275862,218.0,1.0,0.997002622705133,0.9984990619136961,2669.0,0.9991869918699187,0.9935327405012127,0.9963518443453587,1237.0,1.0,0.9833333333333333,0.9915966386554622,480.0,0.9195402298850575,0.9785932721712538,0.9481481481481482,327.0,0.978319783197832,0.9944903581267218,0.9863387978142076,363.0,0.5897058823529412,0.7317518248175182,0.6530944625407166,548.0,0.9447647601476015,0.9636556104446012,0.9541166880167695,8502.0,0.9944289693593314,0.9972067039106145,0.99581589958159,358.0,0.9961685823754789,0.9848484848484849,0.9904761904761905,264.0,0.9269131556319863,0.8398614306169397,0.8336497505805428,0.8214183181128438,16282.0,0.9177593912667659,0.9269131556319863,0.9170896250801112,16282.0
9,0.553014553014553,0.5683760683760684,0.5605900948366702,468.0,0.0,0.0,0.0,323.0,0.616871704745167,0.6685714285714286,0.6416819012797075,525.0,0.9807692307692307,0.9357798165137615,0.9577464788732394,218.0,0.9977528089887641,0.9981266391907081,0.9979396890803521,2669.0,0.9991408934707904,0.9401778496362166,0.9687630154102457,1237.0,0.9978118161925602,0.95,0.9733191035218783,480.0,0.8328690807799443,0.9143730886850153,0.8717201166180758,327.0,1.0,0.977961432506887,0.9888579387186629,363.0,0.6074074074074074,0.5985401459854015,0.6029411764705882,548.0,0.9338842975206612,0.9702422959303694,0.9517161811364292,8502.0,0.9648648648648649,0.9972067039106145,0.9807692307692307,358.0,0.927536231884058,0.9696969696969697,0.9481481481481482,264.0,0.9180690332882938,0.8009171453567693,0.8068501876156493,0.8033994672971713,16282.0,0.9011637566226814,0.9180690332882938,0.9092506502396202,16282.0
10,0.5280373831775701,0.4829059829059829,0.5044642857142857,468.0,0.5,0.0030959752321981426,0.006153846153846154,323.0,0.6230366492146597,0.68,0.6502732240437158,525.0,0.9906976744186047,0.9770642201834863,0.9838337182448037,218.0,0.9988730277986476,0.9962532783814163,0.9975614331269931,2669.0,0.9671361502347418,0.9991915925626516,0.9829025844930418,1237.0,1.0,0.8916666666666667,0.9427312775330396,480.0,0.8597014925373134,0.8807339449541285,0.8700906344410876,327.0,0.9782016348773842,0.9889807162534435,0.9835616438356164,363.0,0.5965665236051502,0.5072992700729927,0.5483234714003945,548.0,0.9214206437291897,0.9764761232651141,0.9481498401096391,8502.0,0.9907120743034056,0.8938547486033519,0.9397944199706314,358.0,0.9948717948717949,0.7348484848484849,0.8453159041394336,264.0,0.912725709372313,0.8422503883668048,0.770182384917686,0.7848581756312714,16282.0,0.9033530760417136,0.912725709372313,0.9020766898801388,16282.0
