epoch,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,2_precision,2_recall,2_f1-score,2_support,3_precision,3_recall,3_f1-score,3_support,4_precision,4_recall,4_f1-score,4_support,5_precision,5_recall,5_f1-score,5_support,6_precision,6_recall,6_f1-score,6_support,7_precision,7_recall,7_f1-score,7_support,8_precision,8_recall,8_f1-score,8_support,9_precision,9_recall,9_f1-score,9_support,10_precision,10_recall,10_f1-score,10_support,11_precision,11_recall,11_f1-score,11_support,12_precision,12_recall,12_f1-score,12_support,13_precision,13_recall,13_f1-score,13_support,14_precision,14_recall,14_f1-score,14_support,15_precision,15_recall,15_f1-score,15_support,16_precision,16_recall,16_f1-score,16_support,17_precision,17_recall,17_f1-score,17_support,18_precision,18_recall,18_f1-score,18_support,19_precision,19_recall,19_f1-score,19_support,20_precision,20_recall,20_f1-score,20_support,21_precision,21_recall,21_f1-score,21_support,22_precision,22_recall,22_f1-score,22_support,23_precision,23_recall,23_f1-score,23_support,24_precision,24_recall,24_f1-score,24_support,25_precision,25_recall,25_f1-score,25_support,26_precision,26_recall,26_f1-score,26_support,27_precision,27_recall,27_f1-score,27_support,28_precision,28_recall,28_f1-score,28_support,29_precision,29_recall,29_f1-score,29_support,30_precision,30_recall,30_f1-score,30_support,31_precision,31_recall,31_f1-score,31_support,32_precision,32_recall,32_f1-score,32_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
1,0.7,0.42424242424242425,0.5283018867924528,33.0,0.593952483801296,0.596529284164859,0.5952380952380952,461.0,0.0,0.0,0.0,31.0,0.4660493827160494,0.483974358974359,0.4748427672955975,312.0,0.5722070844686649,0.45064377682403434,0.5042016806722689,466.0,0.8673469387755102,0.7522123893805309,0.8056872037914692,113.0,0.9578947368421052,0.7913043478260869,0.8666666666666667,230.0,0.9310344827586207,1.0,0.9642857142857143,27.0,0.9152542372881356,0.8181818181818182,0.864,66.0,0.996177370030581,0.9980850248946763,0.9971302850583509,2611.0,1.0,0.3269230769230769,0.4927536231884058,104.0,1.0,0.06060606060606061,0.11428571428571428,33.0,0.6666666666666666,0.7272727272727273,0.6956521739130435,11.0,1.0,0.6666666666666666,0.8,27.0,0.8492871690427699,0.994435612082671,0.916147931160747,1258.0,0.986013986013986,0.8942917547568711,0.9379157427937915,473.0,0.6153846153846154,0.25,0.35555555555555557,32.0,1.0,0.8421052631578947,0.9142857142857143,38.0,0.7056179775280899,0.9127906976744186,0.7959442332065906,344.0,0.0,0.0,0.0,21.0,0.9459459459459459,1.0,0.9722222222222222,35.0,0.36585365853658536,0.24193548387096775,0.2912621359223301,62.0,0.9248366013071896,0.8601823708206687,0.8913385826771654,329.0,0.5643564356435643,0.9047619047619048,0.6951219512195121,63.0,0.9380530973451328,0.1962962962962963,0.32465543644716693,540.0,0.9072598018095649,0.9735321312991216,0.939228367528992,8652.0,0.9969230769230769,0.8780487804878049,0.9337175792507204,369.0,0.4262295081967213,0.37142857142857144,0.3969465648854962,70.0,0.6527777777777778,0.6666666666666666,0.6596491228070176,141.0,0.9801980198019802,0.7615384615384615,0.8571428571428571,260.0,0.9848484848484849,1.0,0.9923664122137404,65.0,0.7777777777777778,0.3181818181818182,0.45161290322580644,22.0,0.9551282051282052,0.8713450292397661,0.9113149847094801,171.0,0.8858614768174012,0.7649416824957301,0.6373994787339765,0.6648325487406874,17470.0,0.8850159215255328,0.8858614768174012,0.873574754307854,17470.0
2,0.76,0.5757575757575758,0.6551724137931034,33.0,0.5685557586837294,0.6746203904555315,0.6170634920634921,461.0,0.5,0.0967741935483871,0.16216216216216217,31.0,0.49271844660194175,0.6506410256410257,0.5607734806629834,312.0,0.6282722513089005,0.5150214592274678,0.5660377358490566,466.0,0.9145299145299145,0.9469026548672567,0.9304347826086956,113.0,1.0,0.9130434782608695,0.9545454545454546,230.0,1.0,1.0,1.0,27.0,0.7721518987341772,0.9242424242424242,0.8413793103448276,66.0,0.9969430645777608,0.9992340099578706,0.9980872226472839,2611.0,0.6466666666666666,0.9326923076923077,0.7637795275590551,104.0,0.6666666666666666,0.12121212121212122,0.20512820512820512,33.0,0.8,0.7272727272727273,0.7619047619047619,11.0,1.0,0.8148148148148148,0.8979591836734694,27.0,0.9959116925592805,0.9682034976152624,0.9818621523579202,1258.0,1.0,0.7653276955602537,0.8670658682634731,473.0,0.0,0.0,0.0,32.0,1.0,0.8947368421052632,0.9444444444444444,38.0,0.6482889733840305,0.9912790697674418,0.7839080459770115,344.0,0.72,0.8571428571428571,0.782608695652174,21.0,1.0,0.8857142857142857,0.9393939393939394,35.0,0.8181818181818182,0.8709677419354839,0.84375,62.0,0.8961748633879781,0.9969604863221885,0.943884892086331,329.0,0.5652173913043478,0.8253968253968254,0.6709677419354839,63.0,0.61,0.45185185185185184,0.5191489361702127,540.0,0.9454837598990015,0.9521497919556172,0.9488050676648431,8652.0,0.978319783197832,0.978319783197832,0.978319783197832,369.0,0.8103448275862069,0.6714285714285714,0.734375,70.0,0.8921568627450981,0.6453900709219859,0.7489711934156379,141.0,0.9789029535864979,0.8923076923076924,0.9336016096579477,260.0,0.9848484848484849,1.0,0.9923664122137404,65.0,0.8421052631578947,0.7272727272727273,0.7804878048780488,22.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,171.0,0.905266170578134,0.7993881746260866,0.7640620422575499,0.765325992160734,17470.0,0.9077864113214824,0.905266170578134,0.9033208701318977,17470.0
3,0.6153846153846154,0.9696969696969697,0.7529411764705882,33.0,0.6412037037037037,0.6008676789587852,0.620380739081747,461.0,1.0,0.22580645161290322,0.3684210526315789,31.0,0.49075975359342916,0.7660256410256411,0.5982478097622027,312.0,0.5934959349593496,0.6266094420600858,0.6096033402922756,466.0,0.98989898989899,0.8672566371681416,0.9245283018867925,113.0,0.9655172413793104,0.9739130434782609,0.9696969696969697,230.0,1.0,0.9629629629629629,0.9811320754716981,27.0,0.967741935483871,0.9090909090909091,0.9375,66.0,0.9988510149368058,0.9988510149368058,0.9988510149368058,2611.0,0.9866666666666667,0.7115384615384616,0.8268156424581006,104.0,0.5952380952380952,0.7575757575757576,0.6666666666666666,33.0,0.8888888888888888,0.7272727272727273,0.8,11.0,0.96,0.8888888888888888,0.9230769230769231,27.0,0.970679012345679,1.0,0.985121378230227,1258.0,0.9161793372319688,0.9936575052854123,0.9533468559837728,473.0,0.6060606060606061,0.625,0.6153846153846154,32.0,0.9047619047619048,1.0,0.95,38.0,0.9273255813953488,0.9273255813953488,0.9273255813953488,344.0,0.85,0.8095238095238095,0.8292682926829268,21.0,1.0,1.0,1.0,35.0,0.6413043478260869,0.9516129032258065,0.7662337662337663,62.0,0.9925373134328358,0.8085106382978723,0.8911222780569514,329.0,0.8,0.7619047619047619,0.7804878048780488,63.0,0.6610169491525424,0.43333333333333335,0.5234899328859061,540.0,0.9485175821650196,0.9539990753582986,0.9512504321770197,8652.0,0.9811320754716981,0.986449864498645,0.9837837837837838,369.0,0.9375,0.8571428571428571,0.8955223880597015,70.0,0.8925619834710744,0.7659574468085106,0.8244274809160306,141.0,1.0,0.9384615384615385,0.9682539682539683,260.0,1.0,1.0,1.0,65.0,0.8260869565217391,0.8636363636363636,0.8444444444444444,22.0,0.9709302325581395,0.9766081871345029,0.9737609329446064,171.0,0.9180881511161992,0.8642497188644961,0.8375600137052838,0.8376086560225294,17470.0,0.9210291373304897,0.9180881511161992,0.9171458511586589,17470.0
4,0.825,1.0,0.9041095890410958,33.0,0.5667396061269147,0.561822125813449,0.5642701525054467,461.0,0.0,0.0,0.0,31.0,0.4946236559139785,0.14743589743589744,0.2271604938271605,312.0,0.575187969924812,0.6566523605150214,0.6132264529058116,466.0,1.0,0.8761061946902655,0.9339622641509434,113.0,0.9821428571428571,0.9565217391304348,0.9691629955947136,230.0,1.0,1.0,1.0,27.0,1.0,0.8636363636363636,0.926829268292683,66.0,0.9977029096477795,0.9980850248946763,0.9978939306911736,2611.0,0.7112676056338029,0.9711538461538461,0.8211382113821138,104.0,0.8571428571428571,0.36363636363636365,0.5106382978723404,33.0,1.0,0.09090909090909091,0.16666666666666666,11.0,1.0,0.8888888888888888,0.9411764705882353,27.0,0.989558232931727,0.9793322734499205,0.9844186975629244,1258.0,0.9693654266958425,0.9365750528541226,0.9526881720430107,473.0,0.6875,0.34375,0.4583333333333333,32.0,0.95,1.0,0.9743589743589743,38.0,0.789598108747045,0.9709302325581395,0.8709256844850065,344.0,0.9285714285714286,0.6190476190476191,0.7428571428571429,21.0,1.0,1.0,1.0,35.0,0.9361702127659575,0.7096774193548387,0.8073394495412844,62.0,0.9927272727272727,0.8297872340425532,0.9039735099337748,329.0,0.88,0.3492063492063492,0.5,63.0,0.5536332179930796,0.8888888888888888,0.6823027718550106,540.0,0.9384087006296509,0.9474110032362459,0.9428883648703054,8652.0,0.9756756756756757,0.978319783197832,0.9769959404600812,369.0,0.7010309278350515,0.9714285714285714,0.8143712574850299,70.0,1.0,0.3120567375886525,0.4756756756756757,141.0,1.0,0.7653846153846153,0.8671023965141612,260.0,1.0,1.0,1.0,65.0,1.0,0.7272727272727273,0.8421052631578947,22.0,0.9653179190751445,0.9766081871345029,0.9709302325581395,171.0,0.9062965082999428,0.8565868056115417,0.7478946845560568,0.7679848987942464,17470.0,0.9098987052513504,0.9062965082999428,0.9017738982622614,17470.0
5,0.9411764705882353,0.9696969696969697,0.9552238805970149,33.0,0.69921875,0.3882863340563991,0.499302649930265,461.0,0.8,0.12903225806451613,0.2222222222222222,31.0,0.44525547445255476,0.1955128205128205,0.2717149220489978,312.0,0.5849358974358975,0.7832618025751072,0.6697247706422018,466.0,1.0,0.9380530973451328,0.9680365296803652,113.0,0.9911504424778761,0.9739130434782609,0.9824561403508771,230.0,1.0,1.0,1.0,27.0,0.9846153846153847,0.9696969696969697,0.9770992366412213,66.0,0.9992340099578706,0.9992340099578706,0.9992340099578706,2611.0,0.9142857142857143,0.9230769230769231,0.9186602870813397,104.0,0.9285714285714286,0.3939393939393939,0.5531914893617021,33.0,1.0,0.9090909090909091,0.9523809523809523,11.0,1.0,0.8888888888888888,0.9411764705882353,27.0,0.9991789819376026,0.9674085850556439,0.9830371567043619,1258.0,0.9808102345415778,0.9725158562367865,0.9766454352441614,473.0,0.5,0.09375,0.15789473684210525,32.0,0.9743589743589743,1.0,0.987012987012987,38.0,0.6877551020408164,0.9796511627906976,0.8081534772182254,344.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,21.0,1.0,1.0,1.0,35.0,0.9,0.8709677419354839,0.8852459016393442,62.0,0.9534883720930233,0.9969604863221885,0.974739970282318,329.0,0.7272727272727273,0.6349206349206349,0.6779661016949152,63.0,0.5994623655913979,0.412962962962963,0.48903508771929827,540.0,0.929297392841361,0.9722607489597781,0.9502937189335743,8652.0,0.9656084656084656,0.989159891598916,0.9772423025435074,369.0,0.8028169014084507,0.8142857142857143,0.8085106382978723,70.0,0.8913043478260869,0.5815602836879432,0.703862660944206,141.0,0.9688715953307393,0.9576923076923077,0.9632495164410058,260.0,1.0,1.0,1.0,65.0,0.8947368421052632,0.7727272727272727,0.8292682926829268,22.0,0.9344262295081968,1.0,0.9661016949152542,171.0,0.9150543789353177,0.8758361821094409,0.7994929992217696,0.8167710650109464,17470.0,0.908628791955901,0.9150543789353177,0.9069148143519286,17470.0
6,1.0,0.696969696969697,0.8214285714285714,33.0,0.5185185185185185,0.42516268980477223,0.46722288438617404,461.0,0.21428571428571427,0.1935483870967742,0.2033898305084746,31.0,0.32142857142857145,0.08653846153846154,0.13636363636363635,312.0,0.5105633802816901,0.6223175965665236,0.5609284332688588,466.0,0.864406779661017,0.9026548672566371,0.8831168831168831,113.0,0.9857142857142858,0.9,0.9409090909090909,230.0,1.0,1.0,1.0,27.0,1.0,0.9090909090909091,0.9523809523809523,66.0,0.9992313604919293,0.995787054768288,0.9975062344139651,2611.0,0.6014492753623188,0.7980769230769231,0.6859504132231405,104.0,1.0,0.12121212121212122,0.21621621621621623,33.0,1.0,0.18181818181818182,0.3076923076923077,11.0,1.0,0.8148148148148148,0.8979591836734694,27.0,1.0,0.5604133545310016,0.7182883341823739,1258.0,0.9910979228486647,0.7061310782241015,0.8246913580246914,473.0,0.0,0.0,0.0,32.0,1.0,0.8947368421052632,0.9444444444444444,38.0,0.44573082489146165,0.8953488372093024,0.5951690821256038,344.0,0.8333333333333334,0.7142857142857143,0.7692307692307693,21.0,1.0,1.0,1.0,35.0,0.8285714285714286,0.46774193548387094,0.5979381443298969,62.0,0.9464285714285714,0.9665653495440729,0.956390977443609,329.0,0.5454545454545454,0.09523809523809523,0.16216216216216217,63.0,0.8238993710691824,0.24259259259259258,0.3748211731044349,540.0,0.8823105436573312,0.9904068423485899,0.9332389457634502,8652.0,0.9276485788113695,0.9728997289972899,0.9497354497354498,369.0,0.9122807017543859,0.7428571428571429,0.8188976377952756,70.0,1.0,0.46099290780141844,0.6310679611650486,141.0,0.7566765578635015,0.9807692307692307,0.8542713567839196,260.0,1.0,0.9846153846153847,0.9922480620155039,65.0,1.0,0.5909090909090909,0.7428571428571429,22.0,0.8047619047619048,0.9883040935672515,0.8871391076115486,171.0,0.8649112764739554,0.8095088536421129,0.6637212098513188,0.6916259620108202,17470.0,0.8695892179818946,0.8649112764739554,0.8497419206233046,17470.0
