epoch,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,2_precision,2_recall,2_f1-score,2_support,3_precision,3_recall,3_f1-score,3_support,4_precision,4_recall,4_f1-score,4_support,5_precision,5_recall,5_f1-score,5_support,6_precision,6_recall,6_f1-score,6_support,7_precision,7_recall,7_f1-score,7_support,8_precision,8_recall,8_f1-score,8_support,9_precision,9_recall,9_f1-score,9_support,10_precision,10_recall,10_f1-score,10_support,11_precision,11_recall,11_f1-score,11_support,12_precision,12_recall,12_f1-score,12_support,13_precision,13_recall,13_f1-score,13_support,14_precision,14_recall,14_f1-score,14_support,15_precision,15_recall,15_f1-score,15_support,16_precision,16_recall,16_f1-score,16_support,17_precision,17_recall,17_f1-score,17_support,18_precision,18_recall,18_f1-score,18_support,19_precision,19_recall,19_f1-score,19_support,20_precision,20_recall,20_f1-score,20_support,21_precision,21_recall,21_f1-score,21_support,22_precision,22_recall,22_f1-score,22_support,23_precision,23_recall,23_f1-score,23_support,24_precision,24_recall,24_f1-score,24_support,25_precision,25_recall,25_f1-score,25_support,26_precision,26_recall,26_f1-score,26_support,27_precision,27_recall,27_f1-score,27_support,28_precision,28_recall,28_f1-score,28_support,29_precision,29_recall,29_f1-score,29_support,30_precision,30_recall,30_f1-score,30_support,31_precision,31_recall,31_f1-score,31_support,32_precision,32_recall,32_f1-score,32_support,33_precision,33_recall,33_f1-score,33_support,34_precision,34_recall,34_f1-score,34_support,35_precision,35_recall,35_f1-score,35_support,36_precision,36_recall,36_f1-score,36_support,37_precision,37_recall,37_f1-score,37_support,38_precision,38_recall,38_f1-score,38_support,39_precision,39_recall,39_f1-score,39_support,40_precision,40_recall,40_f1-score,40_support,41_precision,41_recall,41_f1-score,41_support,42_precision,42_recall,42_f1-score,42_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
1,0.9615384615384616,0.7352941176470589,0.8333333333333334,34.0,0.6212765957446809,0.3029045643153527,0.4072524407252441,482.0,0.36363636363636365,0.18181818181818182,0.24242424242424243,22.0,0.48269581056466304,0.8493589743589743,0.6155632984901278,312.0,1.0,0.2,0.3333333333333333,5.0,0.535175879396985,0.8435643564356435,0.6548808608762491,505.0,0.6178010471204188,0.944,0.7468354430379747,125.0,0.9254901960784314,0.9182879377431906,0.921875,257.0,0.0,0.0,0.0,6.0,0.9743589743589743,1.0,0.987012987012987,38.0,0.935064935064935,0.8888888888888888,0.9113924050632911,81.0,0.997686077902044,0.9988416988416988,0.9982635539262975,2590.0,0.7647058823529411,0.8441558441558441,0.8024691358024691,77.0,0.5833333333333334,0.358974358974359,0.4444444444444444,39.0,1.0,0.6363636363636364,0.7777777777777778,22.0,1.0,0.9285714285714286,0.9629629629629629,28.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,9.0,0.9651257096512571,0.96045197740113,0.9627831715210357,1239.0,0.0,0.0,0.0,3.0,0.9846827133479212,0.9127789046653144,0.9473684210526315,493.0,0.6285714285714286,0.7333333333333333,0.676923076923077,30.0,1.0,0.8518518518518519,0.92,27.0,0.9100719424460432,0.7008310249307479,0.7918622848200313,361.0,1.0,0.2777777777777778,0.43478260869565216,18.0,0.96875,0.96875,0.96875,32.0,0.0,0.0,0.0,4.0,1.0,0.1206896551724138,0.2153846153846154,58.0,0.8355437665782494,0.9662576687116564,0.8961593172119487,326.0,0.0,0.0,0.0,14.0,0.796875,0.7285714285714285,0.7611940298507462,70.0,0.0,0.0,0.0,3.0,0.7103825136612022,0.24253731343283583,0.3616133518776078,536.0,0.0,0.0,0.0,13.0,0.937592867756315,0.9571761960326721,0.9472833304463306,8570.0,0.9204545454545454,0.9446064139941691,0.9323741007194245,343.0,0.0,0.0,0.0,4.0,0.4636363636363636,0.6891891891891891,0.5543478260869565,74.0,0.6144578313253012,0.6538461538461539,0.6335403726708074,156.0,0.8631578947368421,0.9283018867924528,0.8945454545454545,265.0,1.0,0.9452054794520548,0.971830985915493,73.0,0.6190476190476191,0.6190476190476191,0.6190476190476191,21.0,0.8323699421965318,0.8834355828220859,0.8571428571428571,163.0,0.8931075765349752,0.6468252022209734,0.5747828708171895,0.5810873172819307,17541.0,0.8957598927014224,0.8931075765349752,0.8850590006681871,17541.0
2,0.8787878787878788,0.8529411764705882,0.8656716417910447,34.0,0.5340909090909091,0.6825726141078838,0.599271402550091,482.0,0.42857142857142855,0.2727272727272727,0.3333333333333333,22.0,0.5,0.04807692307692308,0.08771929824561403,312.0,0.8,0.8,0.8,5.0,0.6370370370370371,0.5108910891089109,0.567032967032967,505.0,0.967741935483871,0.96,0.963855421686747,125.0,0.9407407407407408,0.9883268482490273,0.9639468690702088,257.0,0.0,0.0,0.0,6.0,0.9743589743589743,1.0,0.987012987012987,38.0,0.9382716049382716,0.9382716049382716,0.9382716049382716,81.0,0.9992269037495168,0.9980694980694981,0.9986478655592042,2590.0,0.6347826086956522,0.948051948051948,0.7604166666666666,77.0,0.7777777777777778,0.5384615384615384,0.6363636363636364,39.0,1.0,0.5454545454545454,0.7058823529411765,22.0,1.0,0.9285714285714286,0.9629629629629629,28.0,1.0,0.8461538461538461,0.9166666666666666,13.0,1.0,0.2222222222222222,0.36363636363636365,9.0,0.9830097087378641,0.9806295399515739,0.9818181818181818,1239.0,0.0,0.0,0.0,3.0,1.0,0.8924949290060852,0.9431939978563773,493.0,0.5348837209302325,0.7666666666666667,0.6301369863013698,30.0,1.0,0.8518518518518519,0.92,27.0,0.8268292682926829,0.9390581717451524,0.8793774319066148,361.0,0.8666666666666667,0.7222222222222222,0.7878787878787878,18.0,0.9411764705882353,1.0,0.9696969696969697,32.0,0.0,0.0,0.0,4.0,0.95,0.6551724137931034,0.7755102040816326,58.0,0.9437869822485208,0.9785276073619632,0.9608433734939759,326.0,0.0,0.0,0.0,14.0,0.7727272727272727,0.7285714285714285,0.75,70.0,0.0,0.0,0.0,3.0,0.7688442211055276,0.28544776119402987,0.4163265306122449,536.0,1.0,0.23076923076923078,0.375,13.0,0.9226158038147139,0.9877479579929989,0.9540715694561849,8570.0,0.9627507163323782,0.9795918367346939,0.9710982658959537,343.0,0.0,0.0,0.0,4.0,0.8,0.7027027027027027,0.7482014388489209,74.0,0.7248322147651006,0.6923076923076923,0.7081967213114754,156.0,0.8797250859106529,0.9660377358490566,0.920863309352518,265.0,1.0,1.0,1.0,73.0,0.7916666666666666,0.9047619047619048,0.8444444444444444,21.0,0.9298245614035088,0.9754601226993865,0.9520958083832335,163.0,0.9107804572145259,0.735133189754002,0.6586235891126895,0.6730103735301587,17541.0,0.9017278799437984,0.9107804572145259,0.8975831827279918,17541.0
3,0.9032258064516129,0.8235294117647058,0.8615384615384616,34.0,0.5254833040421792,0.6203319502074689,0.5689819219790676,482.0,0.2,0.045454545454545456,0.07407407407407407,22.0,0.49557522123893805,0.1794871794871795,0.2635294117647059,312.0,0.75,0.6,0.6666666666666666,5.0,0.6313131313131313,0.49504950495049505,0.5549389567147613,505.0,0.6542553191489362,0.984,0.7859424920127795,125.0,0.9766536964980544,0.9766536964980544,0.9766536964980544,257.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,38.0,0.8636363636363636,0.9382716049382716,0.8994082840236687,81.0,0.9988367584335014,0.9945945945945946,0.9967111627007158,2590.0,0.56,0.9090909090909091,0.693069306930693,77.0,1.0,0.23076923076923078,0.375,39.0,1.0,0.36363636363636365,0.5333333333333333,22.0,1.0,0.9285714285714286,0.9629629629629629,28.0,0.6666666666666666,0.3076923076923077,0.42105263157894735,13.0,1.0,0.1111111111111111,0.2,9.0,0.9657701711491442,0.9564164648910412,0.9610705596107056,1239.0,0.0,0.0,0.0,3.0,0.9558498896247241,0.8782961460446247,0.9154334038054969,493.0,0.5238095238095238,0.36666666666666664,0.43137254901960786,30.0,1.0,0.9259259259259259,0.9615384615384616,27.0,0.7624190064794817,0.9778393351800554,0.8567961165048543,361.0,0.782608695652174,1.0,0.8780487804878049,18.0,1.0,1.0,1.0,32.0,0.0,0.0,0.0,4.0,0.9615384615384616,0.43103448275862066,0.5952380952380952,58.0,0.9507692307692308,0.9478527607361963,0.9493087557603687,326.0,0.0,0.0,0.0,14.0,0.5434782608695652,0.35714285714285715,0.43103448275862066,70.0,1.0,0.6666666666666666,0.8,3.0,0.7155555555555555,0.3003731343283582,0.4231274638633377,536.0,1.0,0.3076923076923077,0.47058823529411764,13.0,0.9141337386018237,0.9826137689614935,0.9471375548307277,8570.0,0.9232876712328767,0.9825072886297376,0.9519774011299436,343.0,0.0,0.0,0.0,4.0,0.8688524590163934,0.7162162162162162,0.7851851851851852,74.0,0.9523809523809523,0.38461538461538464,0.547945205479452,156.0,0.8430034129692833,0.9320754716981132,0.8853046594982079,265.0,1.0,1.0,1.0,73.0,0.7037037037037037,0.9047619047619048,0.7916666666666666,21.0,0.9545454545454546,0.7730061349693251,0.8542372881355932,163.0,0.8972122455960322,0.7336593594262264,0.6116266687593526,0.6342063773857242,17541.0,0.8898403438693461,0.8972122455960322,0.8850482074875669,17541.0
4,1.0,0.8823529411764706,0.9375,34.0,0.6777777777777778,0.25311203319502074,0.3685800604229607,482.0,0.7391304347826086,0.7727272727272727,0.7555555555555555,22.0,0.4358974358974359,0.2724358974358974,0.33530571992110453,312.0,1.0,0.6,0.75,5.0,0.5584905660377358,0.8792079207920792,0.683076923076923,505.0,0.8581560283687943,0.968,0.9097744360902256,125.0,0.9481481481481482,0.9961089494163424,0.9715370018975332,257.0,1.0,0.6666666666666666,0.8,6.0,1.0,1.0,1.0,38.0,0.9195402298850575,0.9876543209876543,0.9523809523809523,81.0,0.9988412514484357,0.9984555984555985,0.998648387719637,2590.0,0.7755102040816326,0.987012987012987,0.8685714285714285,77.0,0.9714285714285714,0.8717948717948718,0.918918918918919,39.0,1.0,0.8181818181818182,0.9,22.0,1.0,0.9285714285714286,0.9629629629629629,28.0,1.0,0.7692307692307693,0.8695652173913043,13.0,0.9,1.0,0.9473684210526315,9.0,0.9638364779874213,0.9895076674737692,0.9765033851055357,1239.0,1.0,0.6666666666666666,0.8,3.0,0.9741035856573705,0.9918864097363083,0.9829145728643216,493.0,0.5897435897435898,0.7666666666666667,0.6666666666666666,30.0,0.9285714285714286,0.9629629629629629,0.9454545454545454,27.0,0.9321533923303835,0.8753462603878116,0.9028571428571428,361.0,0.8571428571428571,1.0,0.9230769230769231,18.0,1.0,1.0,1.0,32.0,1.0,0.5,0.6666666666666666,4.0,1.0,0.46551724137931033,0.6352941176470588,58.0,0.9780564263322884,0.9570552147239264,0.9674418604651163,326.0,0.0,0.0,0.0,14.0,0.85,0.7285714285714285,0.7846153846153846,70.0,1.0,0.6666666666666666,0.8,3.0,0.7759562841530054,0.26492537313432835,0.3949930458970793,536.0,1.0,1.0,1.0,13.0,0.9286109573879358,0.9789964994165694,0.9531383129792672,8570.0,0.9171122994652406,1.0,0.9567642956764296,343.0,0.0,0.0,0.0,4.0,0.92,0.6216216216216216,0.7419354838709677,74.0,0.7317073170731707,0.7692307692307693,0.75,156.0,0.9700374531835206,0.9773584905660377,0.9736842105263158,265.0,1.0,1.0,1.0,73.0,0.95,0.9047619047619048,0.926829268292683,21.0,0.9575757575757575,0.9693251533742331,0.9634146341463414,163.0,0.9148851262755829,0.8606401970804691,0.7839204761159502,0.8056278256458277,17541.0,0.9100156387855862,0.9148851262755829,0.9035120760002447,17541.0
5,1.0,0.9411764705882353,0.9696969696969697,34.0,0.5137614678899083,0.6970954356846473,0.5915492957746479,482.0,0.4166666666666667,0.22727272727272727,0.29411764705882354,22.0,0.44680851063829785,0.2692307692307692,0.336,312.0,0.0,0.0,0.0,5.0,0.6636085626911316,0.4297029702970297,0.5216346153846154,505.0,0.984,0.984,0.984,125.0,0.9884169884169884,0.9961089494163424,0.9922480620155039,257.0,0.75,1.0,0.8571428571428571,6.0,1.0,1.0,1.0,38.0,0.9629629629629629,0.9629629629629629,0.9629629629629629,81.0,0.997686077902044,0.9988416988416988,0.9982635539262975,2590.0,0.6936936936936937,1.0,0.8191489361702128,77.0,0.868421052631579,0.8461538461538461,0.8571428571428571,39.0,1.0,0.7727272727272727,0.8717948717948718,22.0,1.0,0.9285714285714286,0.9629629629629629,28.0,0.8571428571428571,0.9230769230769231,0.8888888888888888,13.0,1.0,0.7777777777777778,0.875,9.0,0.9893704006541292,0.976594027441485,0.9829406986190089,1239.0,1.0,0.3333333333333333,0.5,3.0,0.9744136460554371,0.9269776876267748,0.9501039501039501,493.0,0.5945945945945946,0.7333333333333333,0.6567164179104478,30.0,0.9310344827586207,1.0,0.9642857142857143,27.0,0.8868894601542416,0.9556786703601108,0.92,361.0,0.75,1.0,0.8571428571428571,18.0,1.0,1.0,1.0,32.0,1.0,0.25,0.4,4.0,0.9636363636363636,0.9137931034482759,0.9380530973451328,58.0,0.975609756097561,0.9815950920245399,0.9785932721712538,326.0,0.0,0.0,0.0,14.0,0.6024096385542169,0.7142857142857143,0.6535947712418301,70.0,1.0,0.6666666666666666,0.8,3.0,0.7905759162303665,0.28171641791044777,0.4154057771664374,536.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0,0.9247193484481621,0.9803967327887981,0.9517444494789307,8570.0,0.9577464788732394,0.9912536443148688,0.9742120343839542,343.0,0.0,0.0,0.0,4.0,0.8734177215189873,0.9324324324324325,0.9019607843137255,74.0,0.967741935483871,0.5769230769230769,0.7228915662650602,156.0,0.9808429118773946,0.9660377358490566,0.973384030418251,265.0,1.0,1.0,1.0,73.0,0.95,0.9047619047619048,0.926829268292683,21.0,0.9640718562874252,0.9877300613496932,0.9757575757575757,163.0,0.9147140983980389,0.8172865180218063,0.761657809082072,0.7709127364859584,17541.0,0.9098664525028471,0.9147140983980389,0.9058788816721501,17541.0
6,1.0,0.9411764705882353,0.9696969696969697,34.0,0.5082706766917293,0.7012448132780082,0.5893635571054926,482.0,0.53125,0.7727272727272727,0.6296296296296297,22.0,0.48440065681444994,0.9455128205128205,0.6406080347448425,312.0,1.0,0.8,0.8888888888888888,5.0,0.6301775147928994,0.42178217821782177,0.505338078291815,505.0,0.9259259259259259,1.0,0.9615384615384616,125.0,0.9413919413919414,1.0,0.969811320754717,257.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,38.0,0.9204545454545454,1.0,0.9585798816568047,81.0,0.9973025048169557,0.9992277992277993,0.9982642237222757,2590.0,0.9493670886075949,0.974025974025974,0.9615384615384616,77.0,0.9705882352941176,0.8461538461538461,0.9041095890410958,39.0,1.0,0.8636363636363636,0.926829268292683,22.0,1.0,0.9285714285714286,0.9629629629629629,28.0,1.0,0.8461538461538461,0.9166666666666666,13.0,1.0,0.8888888888888888,0.9411764705882353,9.0,0.9633956386292835,0.9983857949959645,0.9805786761791518,1239.0,0.0,0.0,0.0,3.0,0.9839679358717435,0.9959432048681541,0.9899193548387096,493.0,0.5128205128205128,0.6666666666666666,0.5797101449275363,30.0,0.9,1.0,0.9473684210526315,27.0,0.9413333333333334,0.9778393351800554,0.9592391304347826,361.0,0.9,1.0,0.9473684210526315,18.0,1.0,1.0,1.0,32.0,1.0,0.75,0.8571428571428571,4.0,0.9696969696969697,0.5517241379310345,0.7032967032967034,58.0,0.9876160990712074,0.9785276073619632,0.9830508474576272,326.0,1.0,0.14285714285714285,0.25,14.0,0.8387096774193549,0.7428571428571429,0.7878787878787878,70.0,1.0,1.0,1.0,3.0,0.6403508771929824,0.4085820895522388,0.4988610478359909,536.0,0.8125,1.0,0.896551724137931,13.0,0.958264365098132,0.9457409568261377,0.9519614752172891,8570.0,0.9911764705882353,0.9825072886297376,0.986822840409956,343.0,0.0,0.0,0.0,4.0,0.9454545454545454,0.7027027027027027,0.8062015503875969,74.0,0.9285714285714286,0.6666666666666666,0.7761194029850746,156.0,0.9846743295019157,0.969811320754717,0.9771863117870723,265.0,1.0,1.0,1.0,73.0,1.0,0.9523809523809523,0.975609756097561,21.0,0.9760479041916168,1.0,0.9878787878787879,163.0,0.917735590901317,0.8626443994704981,0.8223789467956647,0.8271569466539227,17541.0,0.923924455796192,0.917735590901317,0.9168053716219806,17541.0
7,1.0,0.9411764705882353,0.9696969696969697,34.0,0.536115569823435,0.6929460580912863,0.604524886877828,482.0,0.8333333333333334,0.6818181818181818,0.75,22.0,0.4479495268138801,0.4551282051282051,0.45151033386327505,312.0,1.0,0.4,0.5714285714285714,5.0,0.6483790523690773,0.5148514851485149,0.5739514348785872,505.0,0.9919354838709677,0.984,0.9879518072289156,125.0,1.0,0.9883268482490273,0.9941291585127201,257.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,38.0,0.9753086419753086,0.9753086419753086,0.9753086419753086,81.0,0.9961538461538462,1.0,0.9980732177263969,2590.0,0.984375,0.8181818181818182,0.8936170212765957,77.0,0.9428571428571428,0.8461538461538461,0.8918918918918919,39.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,22.0,0.9629629629629629,0.9285714285714286,0.9454545454545454,28.0,0.9166666666666666,0.8461538461538461,0.88,13.0,0.9,1.0,0.9473684210526315,9.0,0.9626749611197511,0.9991928974979822,0.9805940594059406,1239.0,0.0,0.0,0.0,3.0,0.9918533604887984,0.9878296146044625,0.9898373983739838,493.0,0.5227272727272727,0.7666666666666667,0.6216216216216216,30.0,0.9,1.0,0.9473684210526315,27.0,0.947075208913649,0.9418282548476454,0.9444444444444444,361.0,0.9,1.0,0.9473684210526315,18.0,1.0,1.0,1.0,32.0,1.0,0.25,0.4,4.0,0.9056603773584906,0.8275862068965517,0.8648648648648649,58.0,0.9876543209876543,0.9815950920245399,0.9846153846153847,326.0,0.5,0.07142857142857142,0.125,14.0,0.8166666666666667,0.7,0.7538461538461538,70.0,1.0,1.0,1.0,3.0,0.6433333333333333,0.36007462686567165,0.46172248803827753,536.0,0.8125,1.0,0.896551724137931,13.0,0.9390493518307937,0.9635939323220537,0.9511633264224832,8570.0,0.9713467048710601,0.9883381924198251,0.9797687861271677,343.0,0.0,0.0,0.0,4.0,0.9,0.972972972972973,0.935064935064935,74.0,0.9130434782608695,0.6730769230769231,0.7749077490774908,156.0,0.9809160305343512,0.969811320754717,0.9753320683111955,265.0,1.0,1.0,1.0,73.0,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0,0.99375,0.9754601226993865,0.9845201238390093,163.0,0.9185907302890371,0.8508316315207249,0.7991521880606868,0.809650482177494,17541.0,0.9158068572883532,0.9185907302890371,0.9148609686962286,17541.0
8,0.8611111111111112,0.9117647058823529,0.8857142857142857,34.0,0.49094202898550726,0.5622406639004149,0.5241779497098646,482.0,0.6190476190476191,0.5909090909090909,0.6046511627906976,22.0,0.4794816414686825,0.7115384615384616,0.5729032258064516,312.0,1.0,0.6,0.75,5.0,0.5876685934489403,0.6039603960396039,0.595703125,505.0,0.9606299212598425,0.976,0.9682539682539683,125.0,0.9372693726937269,0.9883268482490273,0.9621212121212122,257.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,38.0,0.95,0.7037037037037037,0.8085106382978723,81.0,0.9968919968919969,0.9907335907335907,0.9938032532920217,2590.0,0.922077922077922,0.922077922077922,0.922077922077922,77.0,0.9411764705882353,0.8205128205128205,0.8767123287671232,39.0,1.0,0.6818181818181818,0.8108108108108109,22.0,1.0,0.6071428571428571,0.7555555555555555,28.0,1.0,0.6923076923076923,0.8181818181818182,13.0,1.0,0.1111111111111111,0.2,9.0,0.9958263772954925,0.9628732849071832,0.979072630283135,1239.0,1.0,0.6666666666666666,0.8,3.0,0.9866369710467706,0.8985801217038539,0.940552016985138,493.0,0.5882352941176471,0.6666666666666666,0.625,30.0,0.9285714285714286,0.9629629629629629,0.9454545454545454,27.0,0.8243559718969555,0.9750692520775623,0.8934010152284264,361.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,32.0,1.0,0.75,0.8571428571428571,4.0,0.828125,0.9137931034482759,0.8688524590163934,58.0,0.8997214484679665,0.99079754601227,0.9430656934306569,326.0,0.3333333333333333,0.07142857142857142,0.11764705882352941,14.0,0.8253968253968254,0.7428571428571429,0.7819548872180451,70.0,1.0,0.6666666666666666,0.8,3.0,0.6646706586826348,0.4141791044776119,0.5103448275862069,536.0,0.6470588235294118,0.8461538461538461,0.7333333333333333,13.0,0.9512990795759059,0.9527421236872812,0.9520200548009095,8570.0,0.9498607242339833,0.9941690962099126,0.9715099715099715,343.0,0.0,0.0,0.0,4.0,0.7472527472527473,0.918918918918919,0.8242424242424242,74.0,0.9885057471264368,0.5512820512820513,0.7078189300411523,156.0,0.8642384105960265,0.9849056603773585,0.9206349206349206,265.0,1.0,1.0,1.0,73.0,0.782608695652174,0.8571428571428571,0.8181818181818182,21.0,0.9580838323353293,0.9815950920245399,0.9696969696969697,163.0,0.9097542899492618,0.8490715824810383,0.7731069484092796,0.790909387674187,17541.0,0.9136332883304242,0.9097542899492618,0.9088706639188016,17541.0
9,0.7631578947368421,0.8529411764705882,0.8055555555555556,34.0,0.52046783625731,0.553941908713693,0.5366834170854271,482.0,0.6,0.4090909090909091,0.4864864864864865,22.0,0.4846938775510204,0.30448717948717946,0.37401574803149606,312.0,0.0,0.0,0.0,5.0,0.5797101449275363,0.5544554455445545,0.5668016194331984,505.0,0.9818181818181818,0.864,0.9191489361702128,125.0,1.0,0.7782101167315175,0.87527352297593,257.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,38.0,0.9506172839506173,0.9506172839506173,0.9506172839506173,81.0,0.9996121024049651,0.994980694980695,0.9972910216718266,2590.0,0.7717391304347826,0.922077922077922,0.8402366863905325,77.0,1.0,0.10256410256410256,0.18604651162790697,39.0,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0,0.8333333333333334,0.7142857142857143,0.7692307692307693,28.0,0.75,0.23076923076923078,0.35294117647058826,13.0,1.0,0.5555555555555556,0.7142857142857143,9.0,0.9967051070840197,0.976594027441485,0.9865470852017937,1239.0,0.0,0.0,0.0,3.0,0.9846153846153847,0.9087221095334685,0.9451476793248945,493.0,0.575,0.7666666666666667,0.6571428571428571,30.0,0.9615384615384616,0.9259259259259259,0.9433962264150944,27.0,0.8913043478260869,0.9085872576177285,0.8998628257887518,361.0,0.53125,0.9444444444444444,0.68,18.0,1.0,1.0,1.0,32.0,1.0,0.75,0.8571428571428571,4.0,0.7941176470588235,0.9310344827586207,0.8571428571428571,58.0,0.9654088050314465,0.941717791411043,0.953416149068323,326.0,1.0,0.07142857142857142,0.13333333333333333,14.0,0.7936507936507936,0.7142857142857143,0.7518796992481203,70.0,1.0,0.3333333333333333,0.5,3.0,0.601823708206687,0.3694029850746269,0.4578034682080925,536.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0,0.9263939696264272,0.9751458576429405,0.9501449604911603,8570.0,0.9464788732394366,0.9795918367346939,0.9627507163323782,343.0,0.0,0.0,0.0,4.0,0.5483870967741935,0.918918918918919,0.6868686868686869,74.0,0.7419354838709677,0.7371794871794872,0.7395498392282959,156.0,0.947565543071161,0.9547169811320755,0.9511278195488722,265.0,1.0,1.0,1.0,73.0,1.0,0.7142857142857143,0.8333333333333334,21.0,0.95625,0.9386503067484663,0.9473684210526315,163.0,0.9057636394732341,0.7970472763364268,0.7065297089524196,0.7191135522198849,17541.0,0.9010370602581721,0.9057636394732341,0.899865180783397,17541.0
