epoch,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,2_precision,2_recall,2_f1-score,2_support,3_precision,3_recall,3_f1-score,3_support,4_precision,4_recall,4_f1-score,4_support,5_precision,5_recall,5_f1-score,5_support,6_precision,6_recall,6_f1-score,6_support,7_precision,7_recall,7_f1-score,7_support,8_precision,8_recall,8_f1-score,8_support,9_precision,9_recall,9_f1-score,9_support,10_precision,10_recall,10_f1-score,10_support,11_precision,11_recall,11_f1-score,11_support,12_precision,12_recall,12_f1-score,12_support,13_precision,13_recall,13_f1-score,13_support,14_precision,14_recall,14_f1-score,14_support,15_precision,15_recall,15_f1-score,15_support,16_precision,16_recall,16_f1-score,16_support,17_precision,17_recall,17_f1-score,17_support,18_precision,18_recall,18_f1-score,18_support,19_precision,19_recall,19_f1-score,19_support,20_precision,20_recall,20_f1-score,20_support,21_precision,21_recall,21_f1-score,21_support,22_precision,22_recall,22_f1-score,22_support,23_precision,23_recall,23_f1-score,23_support,24_precision,24_recall,24_f1-score,24_support,25_precision,25_recall,25_f1-score,25_support,26_precision,26_recall,26_f1-score,26_support,27_precision,27_recall,27_f1-score,27_support,28_precision,28_recall,28_f1-score,28_support,29_precision,29_recall,29_f1-score,29_support,30_precision,30_recall,30_f1-score,30_support,31_precision,31_recall,31_f1-score,31_support,32_precision,32_recall,32_f1-score,32_support,33_precision,33_recall,33_f1-score,33_support,34_precision,34_recall,34_f1-score,34_support,35_precision,35_recall,35_f1-score,35_support,36_precision,36_recall,36_f1-score,36_support,37_precision,37_recall,37_f1-score,37_support,38_precision,38_recall,38_f1-score,38_support,39_precision,39_recall,39_f1-score,39_support,40_precision,40_recall,40_f1-score,40_support,41_precision,41_recall,41_f1-score,41_support,42_precision,42_recall,42_f1-score,42_support,43_precision,43_recall,43_f1-score,43_support,44_precision,44_recall,44_f1-score,44_support,45_precision,45_recall,45_f1-score,45_support,46_precision,46_recall,46_f1-score,46_support,47_precision,47_recall,47_f1-score,47_support,48_precision,48_recall,48_f1-score,48_support,49_precision,49_recall,49_f1-score,49_support,50_precision,50_recall,50_f1-score,50_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
1,0.0,0.0,0.0,28.0,0.02388535031847134,0.03125,0.02707581227436823,480.0,0.0,0.0,0.0,30.0,0.018433179723502304,0.012307692307692308,0.014760147601476014,325.0,0.0,0.0,0.0,11.0,0.029914529914529916,0.013861386138613862,0.018944519621109608,505.0,0.017964071856287425,0.022900763358778626,0.020134228187919462,131.0,0.017467248908296942,0.01556420233463035,0.01646090534979424,257.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,74.0,0.1478193747587804,0.14787644787644788,0.14784790580968926,2590.0,0.0,0.0,0.0,2.0,0.023809523809523808,0.011494252873563218,0.015503875968992248,87.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.07736156351791532,0.07667473769168684,0.07701661937576003,1239.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.031331592689295036,0.02434077079107505,0.0273972602739726,493.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,34.0,0.01675977653631285,0.008333333333333333,0.011131725417439703,360.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,329.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8572.0,0.020573108008817047,0.5833333333333334,0.0397444996451384,336.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,162.0,0.013333333333333334,0.023255813953488372,0.01694915254237288,258.0,0.008583690987124463,0.029850746268656716,0.013333333333333334,67.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.04165242165242165,0.00876934008553314,0.019628303534535294,0.008750980105909138,17550.0,0.03148645118426267,0.04165242165242165,0.031342541227162075,17550.0
2,0.0,0.0,0.0,28.0,0.02197802197802198,0.016666666666666666,0.018957345971563982,480.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,11.0,0.02533532041728763,0.033663366336633666,0.02891156462585034,505.0,0.0,0.0,0.0,131.0,0.02491103202846975,0.027237354085603113,0.026022304832713755,257.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,35.0,0.014285714285714285,0.013513513513513514,0.013888888888888888,74.0,0.1440710699111626,0.14401544401544403,0.14404325159297163,2590.0,0.0,0.0,0.0,2.0,0.005603448275862069,0.14942528735632185,0.01080182800166182,87.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.07996406109613657,0.07183212267958031,0.07568027210884354,1239.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.02631578947368421,0.028397565922920892,0.027317073170731707,493.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,34.0,0.03058823529411765,0.03611111111111111,0.033121019108280254,360.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,329.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,76.0,0.018867924528301886,0.16666666666666666,0.03389830508474576,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8572.0,0.020391405501573832,0.44345238095238093,0.03898992542195473,336.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,162.0,0.011235955056179775,0.003875968992248062,0.005763688760806916,258.0,0.003816793893129771,0.014925373134328358,0.0060790273556231,67.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.03914529914529914,0.008379701406659647,0.022544761204576845,0.009087735194600714,17550.0,0.030633326411629982,0.03914529914529914,0.030756936147267256,17550.0
3,0.0,0.0,0.0,28.0,0.024742268041237112,0.025,0.024870466321243522,480.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,11.0,0.03304347826086956,0.03762376237623762,0.03518518518518519,505.0,0.0,0.0,0.0,131.0,0.034782608695652174,0.01556420233463035,0.021505376344086023,257.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,74.0,0.15444015444015444,0.15444015444015444,0.15444015444015444,2590.0,0.0,0.0,0.0,2.0,0.006122448979591836,0.034482758620689655,0.010398613518197574,87.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.06432748538011696,0.03551251008878128,0.045761830473218926,1239.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.03723404255319149,0.028397565922920892,0.03222094361334868,493.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,34.0,0.017937219730941704,0.011111111111111112,0.0137221269296741,360.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,59.0,0.058823529411764705,0.00303951367781155,0.005780346820809248,329.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8572.0,0.01856837805217714,0.5952380952380952,0.03601332493022418,336.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.03994301994301994,0.008823953206778375,0.018439405368832002,0.007448987619140038,17550.0,0.03237279095996408,0.03994301994301994,0.03006631986223431,17550.0
4,0.0,0.0,0.0,28.0,0.02976190476190476,0.010416666666666666,0.015432098765432098,480.0,0.0,0.0,0.0,30.0,0.016,0.024615384615384615,0.019393939393939394,325.0,0.0,0.0,0.0,11.0,0.029556650246305417,0.047524752475247525,0.03644646924829157,505.0,0.015873015873015872,0.015267175572519083,0.01556420233463035,131.0,0.0078125,0.007782101167315175,0.007797270955165692,257.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,74.0,0.15411222136817831,0.15482625482625484,0.1544684129429892,2590.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.06882911392405064,0.07021791767554479,0.06951658010387535,1239.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.03153988868274583,0.034482758620689655,0.03294573643410853,493.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,34.0,0.024844720496894408,0.022222222222222223,0.02346041055718475,360.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,59.0,0.031578947368421054,0.00911854103343465,0.014150943396226415,329.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,8.0,0.5714285714285714,0.0004666355576294914,0.0009325096165054202,8572.0,0.01943740190752143,0.4791666666666667,0.03735932242719573,336.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,162.0,0.02097902097902098,0.011627906976744186,0.014962593516209476,258.0,0.00423728813559322,0.014925373134328358,0.006600660066006601,67.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.041367521367521365,0.02011747539553379,0.017699222690404862,0.008804532348191384,17550.0,0.311585460453729,0.041367521367521365,0.0328521595699698,17550.0
5,0.0,0.0,0.0,28.0,0.03225806451612903,0.016666666666666666,0.02197802197802198,480.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,11.0,0.03924221921515562,0.05742574257425743,0.04662379421221865,505.0,0.0,0.0,0.0,131.0,0.012145748987854251,0.011673151750972763,0.011904761904761904,257.0,0.0,0.0,0.0,6.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,35.0,0.014492753623188406,0.013513513513513514,0.013986013986013986,74.0,0.15633423180592992,0.15675675675675677,0.15654520917678813,2590.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.07114624505928854,0.07263922518159806,0.07188498402555911,1239.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.024793388429752067,0.02434077079107505,0.02456499488229273,493.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,34.0,0.020905923344947737,0.016666666666666666,0.01854714064914992,360.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,59.0,0.03571428571428571,0.0060790273556231,0.01038961038961039,329.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,8.0,0.6,0.00034997666822211853,0.0006995452955578874,8572.0,0.018261964735516372,0.5178571428571429,0.03527980535279805,336.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,162.0,0.005917159763313609,0.003875968992248062,0.00468384074941452,258.0,0.0036231884057971015,0.014925373134328358,0.0058309037900874635,67.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.04199430199430199,0.020851109846521314,0.018457674734911764,0.008852746175758888,17550.0,0.325706874349203,0.04199430199430199,0.03278415132278359,17550.0
6,0.0,0.0,0.0,28.0,0.020689655172413793,0.025,0.022641509433962263,480.0,0.0,0.0,0.0,30.0,0.01,0.003076923076923077,0.004705882352941176,325.0,0.0,0.0,0.0,11.0,0.04491725768321513,0.03762376237623762,0.040948275862068964,505.0,0.007462686567164179,0.007633587786259542,0.007547169811320755,131.0,0.029045643153526972,0.027237354085603113,0.028112449799196786,257.0,0.0,0.0,0.0,6.0,0.02631578947368421,0.02857142857142857,0.0273972602739726,35.0,0.0,0.0,0.0,74.0,0.14922480620155038,0.14864864864864866,0.14893617021276595,2590.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,18.0,0.027777777777777776,0.02857142857142857,0.028169014084507043,35.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.07620660457239628,0.07263922518159806,0.0743801652892562,1239.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.029644268774703556,0.030425963488843813,0.03003003003003003,493.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,34.0,0.016901408450704224,0.016666666666666666,0.016783216783216783,360.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,59.0,0.05,0.0060790273556231,0.01084010840108401,329.0,0.0031847133757961785,0.2,0.006269592476489028,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,8.0,0.3333333333333333,0.00011665888940737284,0.00023323615160349855,8572.0,0.02036703086878116,0.5714285714285714,0.039332172487964764,336.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,162.0,0.02,0.011627906976744186,0.014705882352941176,258.0,0.003436426116838488,0.014925373134328358,0.00558659217877095,67.0,0.014925373134328358,0.05263157894736842,0.023255813953488372,19.0,0.05263157894736842,0.006329113924050633,0.011299435028248588,158.0,0.0,0.0,0.0,0.0,0.042165242165242166,0.01835420301183495,0.025279082727641792,0.010611254450271156,17550.0,0.19615062226540866,0.042165242165242166,0.03231859412747849,17550.0
7,0.0,0.0,0.0,28.0,0.03508771929824561,0.029166666666666667,0.03185437997724687,480.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,11.0,0.03263707571801567,0.04950495049504951,0.03933910306845004,505.0,0.0,0.0,0.0,131.0,0.004694835680751174,0.0038910505836575876,0.00425531914893617,257.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,74.0,0.15730337078651685,0.15675675675675677,0.15702958808741055,2590.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.07862407862407862,0.0258272800645682,0.038882138517618466,1239.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.028795811518324606,0.02231237322515213,0.025142857142857144,493.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,34.0,0.024630541871921183,0.027777777777777776,0.02610966057441253,360.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,329.0,0.0035211267605633804,0.2,0.006920415224913495,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,8.0,0.3333333333333333,0.00011665888940737284,0.00023323615160349855,8572.0,0.01967017683290284,0.5892857142857143,0.03806960199961546,336.0,0.00390625,0.3333333333333333,0.007722007722007722,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,258.0,0.011673151750972763,0.04477611940298507,0.018518518518518517,67.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.04005698005698006,0.014389754356384824,0.02907350355845233,0.007726996590854714,17550.0,0.19528083381628222,0.04005698005698006,0.030143343077567483,17550.0
