epoch,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,2_precision,2_recall,2_f1-score,2_support,3_precision,3_recall,3_f1-score,3_support,4_precision,4_recall,4_f1-score,4_support,5_precision,5_recall,5_f1-score,5_support,6_precision,6_recall,6_f1-score,6_support,7_precision,7_recall,7_f1-score,7_support,8_precision,8_recall,8_f1-score,8_support,9_precision,9_recall,9_f1-score,9_support,10_precision,10_recall,10_f1-score,10_support,11_precision,11_recall,11_f1-score,11_support,12_precision,12_recall,12_f1-score,12_support,13_precision,13_recall,13_f1-score,13_support,14_precision,14_recall,14_f1-score,14_support,15_precision,15_recall,15_f1-score,15_support,16_precision,16_recall,16_f1-score,16_support,17_precision,17_recall,17_f1-score,17_support,18_precision,18_recall,18_f1-score,18_support,19_precision,19_recall,19_f1-score,19_support,20_precision,20_recall,20_f1-score,20_support,21_precision,21_recall,21_f1-score,21_support,22_precision,22_recall,22_f1-score,22_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
1,0.025348542458808618,0.043478260869565216,0.032025620496397116,460.0,0.02702702702702703,0.013245033112582781,0.017777777777777778,302.0,0.017543859649122806,0.006085192697768763,0.009036144578313253,493.0,0.0125,0.02830188679245283,0.017341040462427744,106.0,0.011029411764705883,0.012396694214876033,0.011673151750972763,242.0,0.0,0.0,0.0,74.0,0.14679954005366042,0.14679954005366042,0.14679954005366042,2609.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,41.0,0.07389830508474576,0.08575924468922108,0.07938820101966497,1271.0,0.023655913978494623,0.022964509394572025,0.023305084745762712,479.0,0.017142857142857144,0.018404907975460124,0.01775147928994083,326.0,0.0,0.0,0.0,71.0,0.00906344410876133,0.00964630225080386,0.009345794392523364,311.0,0.0,0.0,0.0,67.0,0.025423728813559324,0.027573529411764705,0.026455026455026454,544.0,0.5058105411433267,0.4982654949121184,0.5020096697151512,8648.0,0.028169014084507043,0.028901734104046242,0.028530670470756064,346.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,137.0,0.018518518518518517,0.014814814814814815,0.01646090534979424,270.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,176.0,0.284192759864975,0.04095350886209109,0.04159291936059597,0.04077826550252908,17182.0,0.2870419922248517,0.284192759864975,0.2853605415269695,17182.0
2,0.022813688212927757,0.02608695652173913,0.02434077079107505,460.0,0.0045045045045045045,0.0033112582781456954,0.003816793893129771,302.0,0.01,0.004056795131845842,0.005772005772005772,493.0,0.0,0.0,0.0,106.0,0.03225806451612903,0.0371900826446281,0.0345489443378119,242.0,0.01282051282051282,0.013513513513513514,0.013157894736842105,74.0,0.16062176165803108,0.16634725948639326,0.16343438147241574,2609.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,41.0,0.07485465116279069,0.08103855232100708,0.07782395164336985,1271.0,0.029082774049217,0.027139874739039668,0.028077753779697623,479.0,0.0273972602739726,0.03067484662576687,0.02894356005788712,326.0,0.0,0.0,0.0,71.0,0.0079155672823219,0.00964630225080386,0.008695652173913044,311.0,0.0,0.0,0.0,67.0,0.03303303303303303,0.02022058823529412,0.02508551881413911,544.0,0.508449074074074,0.5079787234042553,0.5082137899120778,8648.0,0.017902813299232736,0.02023121387283237,0.018995929443690638,346.0,0.015228426395939087,0.04,0.022058823529411766,75.0,0.0,0.0,0.0,137.0,0.020066889632107024,0.022222222222222223,0.0210896309314587,270.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,65.0,0.0035842293906810036,0.005681818181818182,0.004395604395604396,176.0,0.2915842160400419,0.04330077676913433,0.04481411403538784,0.043645027003006334,17182.0,0.2906814756055495,0.2915842160400419,0.29099100789448656,17182.0
3,0.0136986301369863,0.006521739130434782,0.008836524300441826,460.0,0.015873015873015872,0.006622516556291391,0.009345794392523364,302.0,0.03508771929824561,0.0486815415821501,0.04078164825828377,493.0,0.0,0.0,0.0,106.0,0.02336448598130841,0.02066115702479339,0.021929824561403508,242.0,0.0,0.0,0.0,74.0,0.14773599386032232,0.1475661172863166,0.1476510067114094,2609.0,0.043478260869565216,0.014492753623188406,0.021739130434782608,69.0,0.0,0.0,0.0,41.0,0.0705229793977813,0.07002360346184107,0.0702724042637189,1271.0,0.029978586723768737,0.029227557411273485,0.02959830866807611,479.0,0.018518518518518517,0.015337423312883436,0.016778523489932886,326.0,0.0,0.0,0.0,71.0,0.006557377049180328,0.006430868167202572,0.006493506493506494,311.0,0.0,0.0,0.0,67.0,0.0390625,0.009191176470588236,0.01488095238095238,544.0,0.505536222714331,0.5543478260869565,0.5288180464397992,8648.0,0.02359882005899705,0.023121387283236993,0.02335766423357664,346.0,0.0,0.0,0.0,75.0,0.0036231884057971015,0.0072992700729927005,0.004842615012106538,137.0,0.0125,0.011111111111111112,0.011764705882352941,270.0,0.0,0.0,0.0,65.0,0.0064516129032258064,0.005681818181818182,0.006042296072507553,176.0,0.31090676289139796,0.04328643094743668,0.04244860290274256,0.041875345721538004,17182.0,0.2875602850349705,0.31090676289139796,0.2982367000968162,17182.0
4,0.029556650246305417,0.0391304347826087,0.03367633302151544,460.0,0.01606425702811245,0.013245033112582781,0.014519056261343012,302.0,0.02912621359223301,0.018255578093306288,0.022443890274314215,493.0,0.0,0.0,0.0,106.0,0.008368200836820083,0.008264462809917356,0.008316008316008316,242.0,0.0,0.0,0.0,74.0,0.15446531238022232,0.15446531238022232,0.15446531238022232,2609.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,41.0,0.08088818398096749,0.08025177025963807,0.08056872037914692,1271.0,0.022964509394572025,0.022964509394572025,0.022964509394572025,479.0,0.014792899408284023,0.015337423312883436,0.015060240963855422,326.0,0.0,0.0,0.0,71.0,0.03594771241830065,0.03536977491961415,0.03565640194489465,311.0,0.0,0.0,0.0,67.0,0.014218009478672985,0.0055147058823529415,0.007947019867549669,544.0,0.49623239052091295,0.5254394079555966,0.5104184217916315,8648.0,0.023054755043227664,0.023121387283236993,0.023088023088023088,346.0,0.0,0.0,0.0,75.0,0.006329113924050633,0.0072992700729927005,0.006779661016949152,137.0,0.019011406844106463,0.018518518518518517,0.01876172607879925,270.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,65.0,0.018072289156626505,0.017045454545454544,0.017543859649122806,176.0,0.2985682691188453,0.04280332694078392,0.04346120255252665,0.042938860861415795,17182.0,0.28430642796074684,0.2985682691188453,0.29110971648287653,17182.0
5,0.03180212014134275,0.0391304347826087,0.03508771929824561,460.0,0.01981981981981982,0.03642384105960265,0.025670945157526253,302.0,0.03225806451612903,0.02231237322515213,0.026378896882494004,493.0,0.00909090909090909,0.009433962264150943,0.009259259259259259,106.0,0.01652892561983471,0.01652892561983471,0.01652892561983471,242.0,0.027777777777777776,0.02702702702702703,0.0273972602739726,74.0,0.14594594594594595,0.14488309697201993,0.1454125793421812,2609.0,0.009259259259259259,0.014492753623188406,0.011299435028248588,69.0,0.0,0.0,0.0,41.0,0.07522485690923958,0.07238394964594808,0.07377706495589414,1271.0,0.017204301075268817,0.016701461377870562,0.01694915254237288,479.0,0.025821596244131457,0.03374233128834356,0.02925531914893617,326.0,0.022727272727272728,0.014084507042253521,0.017391304347826087,71.0,0.021406727828746176,0.022508038585209004,0.0219435736677116,311.0,0.017543859649122806,0.014925373134328358,0.016129032258064516,67.0,0.03787878787878788,0.03676470588235294,0.03731343283582089,544.0,0.4995249406175772,0.48635522664199815,0.4928521209280525,8648.0,0.037142857142857144,0.03757225433526012,0.03735632183908046,346.0,0.013513513513513514,0.013333333333333334,0.013422818791946308,75.0,0.007751937984496124,0.0072992700729927005,0.007518796992481203,137.0,0.01838235294117647,0.018518518518518517,0.01845018450184502,270.0,0.0,0.0,0.0,65.0,0.010101010101010102,0.011363636363636364,0.0106951871657754,176.0,0.27901292049819576,0.047682905947139934,0.04764282699111434,0.047395188297285624,17182.0,0.28569611332806666,0.27901292049819576,0.2822106718978625,17182.0
6,0.02772963604852686,0.034782608695652174,0.03085824493731919,460.0,0.0070921985815602835,0.0033112582781456954,0.004514672686230248,302.0,0.021604938271604937,0.014198782961460446,0.017135862913096694,493.0,0.0,0.0,0.0,106.0,0.0106951871657754,0.008264462809917356,0.009324009324009324,242.0,0.0,0.0,0.0,74.0,0.15151515151515152,0.15139900344959756,0.15145705521472394,2609.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,41.0,0.07600341588385995,0.07002360346184107,0.0728910728910729,1271.0,0.023109243697478993,0.022964509394572025,0.023036649214659685,479.0,0.0213903743315508,0.012269938650306749,0.015594541910331383,326.0,0.0,0.0,0.0,71.0,0.022641509433962263,0.01929260450160772,0.020833333333333332,311.0,0.008695652173913044,0.014925373134328358,0.01098901098901099,67.0,0.04065040650406504,0.009191176470588236,0.014992503748125937,544.0,0.49562532166752443,0.5567761332099908,0.5244241137069107,8648.0,0.0,0.0,0.0,346.0,0.021739130434782608,0.013333333333333334,0.01652892561983471,75.0,0.013574660633484163,0.021897810218978103,0.01675977653631285,137.0,0.023333333333333334,0.025925925925925925,0.02456140350877193,270.0,0.0,0.0,0.0,65.0,0.028368794326241134,0.022727272727272728,0.025236593059936908,176.0,0.312361773949482,0.04320734582620934,0.04353407814015297,0.04257120737363829,17182.0,0.2833646665236852,0.312361773949482,0.2965531990887841,17182.0
7,0.006734006734006734,0.004347826086956522,0.005284015852047556,460.0,0.02040816326530612,0.009933774834437087,0.013363028953229399,302.0,0.01870503597122302,0.02636916835699797,0.021885521885521887,493.0,0.0,0.0,0.0,106.0,0.016597510373443983,0.01652892561983471,0.016563146997929608,242.0,0.0,0.0,0.0,74.0,0.14844649021864212,0.1483326945189728,0.14838957055214724,2609.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,41.0,0.08446215139442231,0.08339889850511409,0.08392715756136183,1271.0,0.026052104208416832,0.027139874739039668,0.026584867075664622,479.0,0.006191950464396285,0.006134969325153374,0.0061633281972265025,326.0,0.0,0.0,0.0,71.0,0.019736842105263157,0.01929260450160772,0.01951219512195122,311.0,0.0,0.0,0.0,67.0,0.015625,0.003676470588235294,0.005952380952380952,544.0,0.5087111784438914,0.5435938945420906,0.5255743753144391,8648.0,0.027624309392265192,0.028901734104046242,0.02824858757062147,346.0,0.0,0.0,0.0,75.0,0.007407407407407408,0.0072992700729927005,0.007352941176470588,137.0,0.007326007326007326,0.007407407407407408,0.007366482504604052,270.0,0.0,0.0,0.0,65.0,0.006134969325153374,0.005681818181818182,0.0058997050147492625,176.0,0.3057269235246188,0.04000709246216718,0.04078431875585672,0.040089882814362834,17182.0,0.2886304237771634,0.3057269235246188,0.29671223241131434,17182.0
8,0.03714710252600297,0.05434782608695652,0.0441306266548985,460.0,0.014527845036319613,0.019867549668874173,0.016783216783216783,302.0,0.02643171806167401,0.012170385395537525,0.016666666666666666,493.0,0.01,0.009433962264150943,0.009708737864077669,106.0,0.01694915254237288,0.01652892561983471,0.016736401673640166,242.0,0.014084507042253521,0.013513513513513514,0.013793103448275862,74.0,0.15254886929858183,0.15254886929858183,0.15254886929858183,2609.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,41.0,0.08923076923076922,0.09126671911880409,0.09023726176584987,1271.0,0.026476578411405296,0.027139874739039668,0.026804123711340205,479.0,0.011904761904761904,0.012269938650306749,0.012084592145015106,326.0,0.05263157894736842,0.028169014084507043,0.03669724770642202,71.0,0.009771986970684038,0.00964630225080386,0.009708737864077669,311.0,0.0,0.0,0.0,67.0,0.020833333333333332,0.007352941176470588,0.010869565217391304,544.0,0.5018433694559267,0.5194264569842738,0.510483550201716,8648.0,0.022857142857142857,0.023121387283236993,0.022988505747126436,346.0,0.0,0.0,0.0,75.0,0.005319148936170213,0.0072992700729927005,0.006153846153846154,137.0,0.011538461538461539,0.011111111111111112,0.011320754716981131,270.0,0.0,0.0,0.0,65.0,0.005917159763313609,0.005681818181818182,0.005797101449275362,176.0,0.2961238505412641,0.04478319503724095,0.04438677676090496,0.04406577865514776,17182.0,0.2874828439613506,0.2961238505412641,0.2914811619542233,17182.0
9,0.02127659574468085,0.021739130434782608,0.021505376344086023,460.0,0.013888888888888888,0.006622516556291391,0.008968609865470852,302.0,0.031413612565445025,0.036511156186612576,0.03377110694183865,493.0,0.01,0.009433962264150943,0.009708737864077669,106.0,0.015306122448979591,0.012396694214876033,0.0136986301369863,242.0,0.0136986301369863,0.013513513513513514,0.013605442176870748,74.0,0.161364507474128,0.161364507474128,0.161364507474128,2609.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,41.0,0.0757453666398066,0.07395751376868608,0.07484076433121019,1271.0,0.0288659793814433,0.029227557411273485,0.029045643153526972,479.0,0.010238907849829351,0.009202453987730062,0.009693053311793215,326.0,0.018518518518518517,0.014084507042253521,0.016,71.0,0.0165016501650165,0.01607717041800643,0.016286644951140065,311.0,0.017857142857142856,0.014925373134328358,0.016260162601626018,67.0,0.007246376811594203,0.001838235294117647,0.002932551319648094,544.0,0.5018338727076591,0.5379278445883441,0.5192543810693158,8648.0,0.016853932584269662,0.017341040462427744,0.017094017094017096,346.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,137.0,0.021352313167259787,0.022222222222222223,0.021778584392014518,270.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,65.0,0.006024096385542169,0.005681818181818182,0.005847953216374269,176.0,0.30502851821673843,0.04362483172660027,0.044323992719138186,0.04378438180994521,17182.0,0.28720666172556053,0.30502851821673843,0.29571751348555825,17182.0
10,0.0205761316872428,0.021739130434782608,0.021141649048625793,460.0,0.009433962264150943,0.0033112582781456954,0.004901960784313725,302.0,0.024390243902439025,0.02434077079107505,0.024365482233502538,493.0,0.0,0.0,0.0,106.0,0.00796812749003984,0.008264462809917356,0.008113590263691683,242.0,0.0,0.0,0.0,74.0,0.15529141104294478,0.1552318896128785,0.15526164462334674,2609.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,41.0,0.08320493066255778,0.08497246262785209,0.08407940833008953,1271.0,0.024390243902439025,0.029227557411273485,0.026590693257359924,479.0,0.02005730659025788,0.02147239263803681,0.02074074074074074,326.0,0.021739130434782608,0.014084507042253521,0.017094017094017096,71.0,0.010830324909747292,0.00964630225080386,0.01020408163265306,311.0,0.016129032258064516,0.014925373134328358,0.015503875968992248,67.0,0.02888086642599278,0.014705882352941176,0.0194884287454324,544.0,0.5080902461257977,0.5156105457909343,0.5118227731864096,8648.0,0.007766990291262136,0.011560693641618497,0.009291521486643438,346.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,137.0,0.018633540372670808,0.022222222222222223,0.02027027027027027,270.0,0.0,0.0,0.0,65.0,0.023668639053254437,0.022727272727272728,0.02318840579710145,176.0,0.29362123152135955,0.0426543968440715,0.04234968364201462,0.04226341493318219,17182.0,0.2900098492988443,0.29362123152135955,0.2916809542275843,17182.0
