epoch,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,2_precision,2_recall,2_f1-score,2_support,3_precision,3_recall,3_f1-score,3_support,4_precision,4_recall,4_f1-score,4_support,5_precision,5_recall,5_f1-score,5_support,6_precision,6_recall,6_f1-score,6_support,7_precision,7_recall,7_f1-score,7_support,8_precision,8_recall,8_f1-score,8_support,9_precision,9_recall,9_f1-score,9_support,10_precision,10_recall,10_f1-score,10_support,11_precision,11_recall,11_f1-score,11_support,12_precision,12_recall,12_f1-score,12_support,13_precision,13_recall,13_f1-score,13_support,14_precision,14_recall,14_f1-score,14_support,15_precision,15_recall,15_f1-score,15_support,16_precision,16_recall,16_f1-score,16_support,17_precision,17_recall,17_f1-score,17_support,18_precision,18_recall,18_f1-score,18_support,19_precision,19_recall,19_f1-score,19_support,20_precision,20_recall,20_f1-score,20_support,21_precision,21_recall,21_f1-score,21_support,22_precision,22_recall,22_f1-score,22_support,23_precision,23_recall,23_f1-score,23_support,24_precision,24_recall,24_f1-score,24_support,25_precision,25_recall,25_f1-score,25_support,26_precision,26_recall,26_f1-score,26_support,27_precision,27_recall,27_f1-score,27_support,28_precision,28_recall,28_f1-score,28_support,29_precision,29_recall,29_f1-score,29_support,30_precision,30_recall,30_f1-score,30_support,31_precision,31_recall,31_f1-score,31_support,32_precision,32_recall,32_f1-score,32_support,33_precision,33_recall,33_f1-score,33_support,34_precision,34_recall,34_f1-score,34_support,35_precision,35_recall,35_f1-score,35_support,36_precision,36_recall,36_f1-score,36_support,37_precision,37_recall,37_f1-score,37_support,38_precision,38_recall,38_f1-score,38_support,39_precision,39_recall,39_f1-score,39_support,40_precision,40_recall,40_f1-score,40_support,41_precision,41_recall,41_f1-score,41_support,42_precision,42_recall,42_f1-score,42_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
1,0.0,0.0,0.0,35.0,0.03896103896103896,0.012295081967213115,0.018691588785046728,488.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,14.0,0.04285714285714286,0.04054054054054054,0.041666666666666664,518.0,0.03225806451612903,0.008928571428571428,0.013986013986013986,112.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,86.0,0.13825055596738325,0.13886820551005213,0.1385586924219911,2686.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,9.0,0.06264323911382735,0.06931530008453085,0.06581059390048154,1183.0,0.0,0.0,0.0,4.0,0.020491803278688523,0.0117096018735363,0.014903129657228018,427.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,343.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,78.0,0.021875,0.020527859237536656,0.02118003025718608,341.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,506.0,0.0,0.0,0.0,12.0,0.5133531157270029,0.04031224513573343,0.07475424003456843,8583.0,0.017241379310344827,0.005649717514124294,0.00851063829787234,354.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,78.0,0.007659727854375057,0.6071428571428571,0.015128593040847202,140.0,0.0,0.0,0.0,252.0,0.014705882352941176,0.014705882352941176,0.014705882352941176,68.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,161.0,0.05296163274613762,0.02116969651020637,0.02255804332064272,0.009951071381414961,17541.0,0.2805295486516836,0.05296163274613762,0.0651973251546554,17541.0
2,0.029411764705882353,0.02857142857142857,0.028985507246376812,35.0,0.02072538860103627,0.02459016393442623,0.022492970946579195,488.0,0.0,0.0,0.0,27.0,0.038461538461538464,0.003076923076923077,0.005698005698005698,325.0,0.0,0.0,0.0,14.0,0.03304347826086956,0.03667953667953668,0.03476669716376944,518.0,0.0,0.0,0.0,112.0,0.012244897959183673,0.0125,0.012371134020618556,240.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,86.0,0.15416047548291234,0.1545048399106478,0.15433246560059502,2686.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,9.0,0.07106164383561644,0.07016060862214708,0.07060825180774138,1183.0,0.0,0.0,0.0,4.0,0.02702702702702703,0.02810304449648712,0.027554535017221583,427.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,31.0,0.022099447513812154,0.023323615160349854,0.02269503546099291,343.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,78.0,0.01507537688442211,0.017595307917888565,0.016238159675236806,341.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,2.0,0.030120481927710843,0.019762845849802372,0.02386634844868735,506.0,0.0,0.0,0.0,12.0,0.48910438003922424,0.5230106023534895,0.5054895557682563,8583.0,0.02318840579710145,0.022598870056497175,0.022889842632331903,354.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,78.0,0.0125,0.007142857142857143,0.00909090909090909,140.0,0.012,0.011904761904761904,0.01195219123505976,252.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,13.0,0.006211180124223602,0.006211180124223602,0.006211180124223602,161.0,0.28915113163445644,0.023172918293501408,0.02301712990235969,0.022680064882246633,17541.0,0.27326307327949406,0.28915113163445644,0.28060293081976284,17541.0
3,0.0,0.0,0.0,35.0,0.031446540880503145,0.010245901639344262,0.015455950540958269,488.0,0.0,0.0,0.0,27.0,0.01098901098901099,0.006153846153846154,0.007889546351084813,325.0,0.0,0.0,0.0,14.0,0.025252525252525252,0.02895752895752896,0.02697841726618705,518.0,0.012903225806451613,0.017857142857142856,0.0149812734082397,112.0,0.0113314447592068,0.016666666666666666,0.013490725126475547,240.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,86.0,0.1458975077009241,0.1939687267311988,0.16653348249960045,2686.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,36.0,0.0008298755186721991,0.05,0.0016326530612244899,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,9.0,0.06881243063263041,0.3144547759932375,0.11291546516922144,1183.0,0.0,0.0,0.0,4.0,0.02824858757062147,0.0117096018735363,0.016556291390728478,427.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,343.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,3.0,0.00463821892393321,0.0641025641025641,0.00865051903114187,78.0,0.017964071856287425,0.017595307917888565,0.017777777777777778,341.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,506.0,0.0,0.0,0.0,12.0,0.4781987133666905,0.15588954910870326,0.23512872331078113,8583.0,0.02627511591962906,0.0480225988700565,0.03396603396603397,354.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,78.0,0.03333333333333333,0.02142857142857143,0.02608695652173913,140.0,0.0,0.0,0.0,252.0,0.013888888888888888,0.014705882352941176,0.014285714285714285,68.0,0.0,0.0,0.0,13.0,0.014492753623188406,0.006211180124223602,0.008695652173913044,161.0,0.13100735419873438,0.021500052209825506,0.022743484762266283,0.0167680274856005,17541.0,0.2650727058916781,0.13100735419873438,0.1516379679259887,17541.0
4,0.0,0.0,0.0,35.0,0.017857142857142856,0.020491803278688523,0.019083969465648856,488.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,14.0,0.013856812933025405,0.011583011583011582,0.012618296529968454,518.0,0.014705882352941176,0.017857142857142856,0.016129032258064516,112.0,0.01282051282051282,0.0125,0.012658227848101266,240.0,0.0,0.0,0.0,3.0,0.02631578947368421,0.02702702702702703,0.02666666666666667,37.0,0.0,0.0,0.0,86.0,0.15848214285714285,0.15860014892032762,0.1585411239300335,2686.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,20.0,0.02702702702702703,0.025,0.025974025974025976,40.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,9.0,0.06827643630308076,0.06931530008453085,0.06879194630872483,1183.0,0.0,0.0,0.0,4.0,0.014778325123152709,0.01405152224824356,0.014405762304921969,427.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,31.0,0.01873536299765808,0.023323615160349854,0.02077922077922078,343.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,78.0,0.03216374269005848,0.03225806451612903,0.032210834553440704,341.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,2.0,0.02912621359223301,0.005928853754940711,0.009852216748768473,506.0,0.0,0.0,0.0,12.0,0.49196313759108445,0.5348945590120004,0.5125313982696065,8583.0,0.006097560975609756,0.005649717514124294,0.005865102639296188,354.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,78.0,0.006711409395973154,0.007142857142857143,0.006920415224913495,140.0,0.0182648401826484,0.015873015873015872,0.016985138004246284,252.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,13.0,0.010638297872340425,0.012422360248447204,0.011461318051575931,161.0,0.2941109400832336,0.022507456675472454,0.02311439533071713,0.02259243478040057,17541.0,0.2736161248541018,0.2941109400832336,0.2831889237984953,17541.0
5,0.0,0.0,0.0,35.0,0.030035335689045935,0.03483606557377049,0.03225806451612903,488.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,14.0,0.029357798165137616,0.03088803088803089,0.030103480714957668,518.0,0.0,0.0,0.0,112.0,0.016877637130801686,0.016666666666666666,0.016771488469601678,240.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,37.0,0.014285714285714285,0.011627906976744186,0.01282051282051282,86.0,0.14774841831038332,0.14780342516753536,0.14777591662013773,2686.0,0.0053475935828877,0.019801980198019802,0.008421052631578947,101.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,20.0,0.027777777777777776,0.025,0.02631578947368421,40.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,9.0,0.06222222222222222,0.05917159763313609,0.060658578856152515,1183.0,0.0,0.0,0.0,4.0,0.01650943396226415,0.01639344262295082,0.01645123384253819,427.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,31.0,0.016666666666666666,0.02040816326530612,0.01834862385321101,343.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,3.0,0.01818181818181818,0.01282051282051282,0.015037593984962405,78.0,0.01092896174863388,0.011730205278592375,0.011315417256011316,341.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,2.0,0.0427807486631016,0.015810276679841896,0.023088023088023088,506.0,0.0,0.0,0.0,12.0,0.48738292011019285,0.5153209833391588,0.5009627364367426,8583.0,0.017241379310344827,0.01694915254237288,0.017094017094017096,354.0,0.0,0.0,0.0,3.0,0.013888888888888888,0.01282051282051282,0.013333333333333334,78.0,0.0,0.0,0.0,140.0,0.012048192771084338,0.011904761904761904,0.011976047904191617,252.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,13.0,0.017341040462427744,0.018633540372670808,0.017964071856287425,161.0,0.2833931930904737,0.02294471041696265,0.023222958715129877,0.022806883319815643,17541.0,0.2703971720377182,0.2833931930904737,0.27648643413781354,17541.0
6,0.0,0.0,0.0,35.0,0.015065913370998116,0.01639344262295082,0.015701668302257114,488.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,14.0,0.026128266033254157,0.021235521235521235,0.023429179978700747,518.0,0.009345794392523364,0.008928571428571428,0.0091324200913242,112.0,0.01568627450980392,0.016666666666666666,0.01616161616161616,240.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,86.0,0.1448199034533977,0.14519731943410275,0.14500836586726157,2686.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,9.0,0.06398687448728466,0.06593406593406594,0.0649458784346378,1183.0,0.0,0.0,0.0,4.0,0.019955654101995565,0.02107728337236534,0.02050113895216401,427.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,31.0,0.014492753623188406,0.014577259475218658,0.014534883720930232,343.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,78.0,0.025157232704402517,0.02346041055718475,0.024279210925644917,341.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,2.0,0.024793388429752067,0.005928853754940711,0.009569377990430622,506.0,0.0,0.0,0.0,12.0,0.4881471244817689,0.5350110683910054,0.5105058365758754,8583.0,0.026239067055393587,0.025423728813559324,0.02582496413199426,354.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,140.0,0.00816326530612245,0.007936507936507936,0.008048289738430584,252.0,0.014492753623188406,0.014705882352941176,0.014598540145985401,68.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,161.0,0.2919445869676757,0.020848238734257528,0.021452943766874465,0.020982357465517514,17541.0,0.26948834014816636,0.2919445869676757,0.2800136288245971,17541.0
7,0.0,0.0,0.0,35.0,0.028169014084507043,0.028688524590163935,0.028426395939086295,488.0,0.0,0.0,0.0,27.0,0.01953125,0.015384615384615385,0.01721170395869191,325.0,0.0,0.0,0.0,14.0,0.029357798165137616,0.03088803088803089,0.030103480714957668,518.0,0.0,0.0,0.0,112.0,0.0199203187250996,0.020833333333333332,0.020366598778004074,240.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,86.0,0.14856289660321015,0.14817572598659717,0.1483690587138863,2686.0,0.010309278350515464,0.009900990099009901,0.010101010101010102,101.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,9.0,0.07019064124783363,0.06846999154691462,0.0693196405648267,1183.0,0.0,0.0,0.0,4.0,0.018957345971563982,0.01873536299765808,0.01884570082449941,427.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,31.0,0.02459016393442623,0.026239067055393587,0.02538787023977433,343.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,3.0,0.013888888888888888,0.01282051282051282,0.013333333333333334,78.0,0.029411764705882353,0.02932551319648094,0.02936857562408223,341.0,0.0,0.0,0.0,14.0,0.011235955056179775,0.014285714285714285,0.012578616352201259,70.0,0.0,0.0,0.0,2.0,0.02696629213483146,0.023715415019762844,0.025236593059936908,506.0,0.0,0.0,0.0,12.0,0.48960345415293716,0.5020389141325877,0.4957432121491026,8583.0,0.016483516483516484,0.01694915254237288,0.016713091922005572,354.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,140.0,0.012,0.011904761904761904,0.01195219123505976,252.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,13.0,0.006172839506172839,0.006211180124223602,0.006191950464396285,161.0,0.2782053474716379,0.022682591116527966,0.022896902462979856,0.022773233115694295,17541.0,0.272355733126646,0.2782053474716379,0.2752318247610197,17541.0
